Range Time (seconds),Thrust
553.0,1.0166400000000027
553.1,1.0118613333333348
553.2,1.007082666666667
553.3000000000001,1.0023039999999992
553.4000000000001,0.9975253333333313
553.5000000000001,0.9927466666666634
553.6000000000001,0.9879679999999956
553.7000000000002,0.9831893333333277
553.8000000000002,0.9784106666666599
553.9000000000002,0.9736319999999921
554.0000000000002,0.9688533333333242
554.1000000000003,0.9640746666666564
554.2000000000003,0.9592959999999885
554.3000000000003,0.9545173333333207
554.4000000000003,0.9497386666666529
554.5000000000003,0.944959999999985
554.6000000000004,0.9401813333333171
554.7000000000004,0.9354026666666493
554.8000000000004,0.9306239999999815
554.9000000000004,0.9258453333333136
555.0000000000005,0.9210666666666458
555.1000000000005,0.9194844444444414
555.2000000000005,0.9188207407407376
555.3000000000005,0.9181570370370337
555.4000000000005,0.9174933333333298
555.5000000000006,0.916829629629626
555.6000000000006,0.9161659259259222
555.7000000000006,0.9155022222222182
555.8000000000006,0.9148385185185144
555.9000000000007,0.9141748148148106
556.0000000000007,0.9135111111111067
556.1000000000007,0.9128474074074028
556.2000000000007,0.912183703703699
556.3000000000008,0.9115199999999951
556.4000000000008,0.9108562962962913
556.5000000000008,0.9101925925925874
556.6000000000008,0.9095288888888835
556.7000000000008,0.9088651851851797
556.8000000000009,0.9082014814814758
556.9000000000009,0.907537777777772
557.0000000000009,0.9068740740740681
557.1000000000009,0.9065422222222206
557.200000000001,0.9063612121212105
557.300000000001,0.9061802020202003
557.400000000001,0.9059991919191902
557.500000000001,0.90581818181818
557.600000000001,0.9056371717171698
557.7000000000011,0.9054561616161597
557.8000000000011,0.9052751515151496
557.9000000000011,0.9050941414141395
558.0000000000011,0.9049131313131293
558.1000000000012,0.9047321212121191
558.2000000000012,0.904551111111109
558.3000000000012,0.9043701010100988
558.4000000000012,0.9041890909090887
558.5000000000013,0.9040080808080786
558.6000000000013,0.9038270707070685
558.7000000000013,0.9036460606060582
558.8000000000013,0.9034650505050481
558.9000000000013,0.903284040404038
559.0000000000014,0.9031030303030279
559.1000000000014,0.9029220202020177
559.2000000000014,0.9027410101010076
559.3000000000014,0.9025599999999974
559.4000000000015,0.9023789898989872
559.5000000000015,0.9021979797979771
559.6000000000015,0.902016969696967
559.7000000000015,0.9018359595959569
559.8000000000015,0.9016549494949467
559.9000000000016,0.9014739393939365
560.0000000000016,0.9012929292929264
560.1000000000016,0.9011119191919162
560.2000000000016,0.9009309090909061
560.3000000000017,0.900749898989896
560.4000000000017,0.9005688888888859
560.5000000000017,0.9003878787878756
560.6000000000017,0.9002068686868655
560.7000000000018,0.9000258585858554
560.8000000000018,0.8998448484848452
560.9000000000018,0.8996638383838351
561.0000000000018,0.899482828282825
561.1000000000018,0.899332525252523
561.2000000000019,0.8992118518518496
561.3000000000019,0.8990911784511761
561.4000000000019,0.8989705050505027
561.5000000000019,0.8988498316498293
561.600000000002,0.8987291582491559
561.700000000002,0.8986084848484824
561.800000000002,0.898487811447809
561.900000000002,0.8983671380471355
562.000000000002,0.8982464646464622
562.1000000000021,0.8981257912457887
562.2000000000021,0.8980051178451153
562.3000000000021,0.8978844444444418
562.4000000000021,0.8977637710437685
562.5000000000022,0.897643097643095
562.6000000000022,0.8975224242424216
562.7000000000022,0.8974017508417481
562.8000000000022,0.8972810774410748
562.9000000000023,0.8971604040404013
563.0000000000023,0.8970397306397279
563.1000000000023,0.8969190572390544
563.2000000000023,0.8967983838383811
563.3000000000023,0.8966777104377076
563.4000000000024,0.8965570370370342
563.5000000000024,0.8964363636363607
563.6000000000024,0.8963156902356872
563.7000000000024,0.8961950168350139
563.8000000000025,0.8960743434343404
563.9000000000025,0.895953670033667
564.0000000000025,0.8958329966329935
564.1000000000025,0.8957123232323202
564.2000000000025,0.8955916498316467
564.3000000000026,0.8954709764309733
564.4000000000026,0.8953503030302998
564.5000000000026,0.8952296296296265
564.6000000000026,0.895108956228953
564.7000000000027,0.8949882828282796
564.8000000000027,0.8948676094276061
564.9000000000027,0.8947469360269327
565.0000000000027,0.8946262626262593
565.1000000000028,0.8945055892255859
565.2000000000028,0.8943849158249124
565.3000000000028,0.894264242424239
565.4000000000028,0.8941435690235656
565.5000000000028,0.8940228956228922
565.6000000000029,0.8939022222222187
565.7000000000029,0.8937815488215453
565.8000000000029,0.8936608754208719
565.9000000000029,0.8935402020201985
566.000000000003,0.893419528619525
566.100000000003,0.8933382587782592
566.200000000003,0.8933554978354983
566.300000000003,0.8933727368927374
566.400000000003,0.8933899759499765
566.5000000000031,0.8934072150072155
566.6000000000031,0.8934244540644546
566.7000000000031,0.8934416931216936
566.8000000000031,0.8934589321789327
566.9000000000032,0.8934761712361717
567.0000000000032,0.8934934102934108
567.1000000000032,0.8935106493506498
567.2000000000032,0.893527888407889
567.3000000000033,0.893545127465128
567.4000000000033,0.8935623665223671
567.5000000000033,0.8935796055796061
567.6000000000033,0.8935968446368452
567.7000000000033,0.8936140836940842
567.8000000000034,0.8936313227513233
567.9000000000034,0.8936485618085623
568.0000000000034,0.8936658008658014
568.1000000000034,0.8936830399230405
568.2000000000035,0.8937002789802796
568.3000000000035,0.8937175180375186
568.4000000000035,0.8937347570947577
568.5000000000035,0.8937519961519967
568.6000000000035,0.8937692352092358
568.7000000000036,0.8937864742664748
568.8000000000036,0.8938037133237139
568.9000000000036,0.8938209523809529
569.0000000000036,0.8938381914381921
569.1000000000037,0.8938554304954311
569.2000000000037,0.8938726695526702
569.3000000000037,0.8938899086099092
569.4000000000037,0.8939071476671483
569.5000000000038,0.8939243867243873
