Range Time (seconds),LOX Tank Pressure
-500.0,10.927097122125803
-499.9,10.927122959258716
-499.79999999999995,10.927148796391627
-499.69999999999993,10.927174633524539
-499.5999999999999,10.92720047065745
-499.4999999999999,10.927226307790361
-499.39999999999986,10.927252144923274
-499.29999999999984,10.927277982056186
-499.1999999999998,10.927303819189097
-499.0999999999998,10.927329656322009
-498.9999999999998,10.92735549345492
-498.89999999999975,10.927381330587833
-498.7999999999997,10.927407167720744
-498.6999999999997,10.927433004853656
-498.5999999999997,10.927458841986567
-498.49999999999966,10.927484679119479
-498.39999999999964,10.92751051625239
-498.2999999999996,10.927536353385303
-498.1999999999996,10.927562190518215
-498.09999999999957,10.927588027651126
-497.99999999999955,10.927613864784037
-497.8999999999995,10.927639701916949
-497.7999999999995,10.927665539049862
-497.6999999999995,10.927691376182773
-497.59999999999945,10.927717213315685
-497.49999999999943,10.927743050448596
-497.3999999999994,10.927768887581507
-497.2999999999994,10.927794724714419
-497.19999999999936,10.927820561847332
-497.09999999999934,10.927846398980243
-496.9999999999993,10.927872236113155
-496.8999999999993,10.927898073246066
-496.7999999999993,10.927923910378977
-496.69999999999925,10.92794974751189
-496.5999999999992,10.927975584644802
-496.4999999999992,10.928001421777713
-496.3999999999992,10.928027258910625
-496.29999999999916,10.928053096043536
-496.19999999999914,10.92807893317645
-496.0999999999991,10.92810477030936
-495.9999999999991,10.928130607442272
-495.89999999999907,10.928156444575183
-495.79999999999905,10.928182281708095
-495.699999999999,10.928208118841006
-495.599999999999,10.92823395597392
-495.499999999999,10.92825979310683
-495.39999999999895,10.928285630239742
-495.29999999999893,10.928311467372653
-495.1999999999989,10.928337304505565
-495.0999999999989,10.928363141638478
-494.99999999999886,10.92838897877139
-494.89999999999884,10.9284148159043
-494.7999999999988,10.928440653037212
-494.6999999999988,10.928466490170123
-494.5999999999988,10.928492327303037
-494.49999999999875,10.928518164435948
-494.3999999999987,10.92854400156886
-494.2999999999987,10.92856983870177
-494.1999999999987,10.928595675834682
-494.09999999999866,10.928621512967593
-493.99999999999864,10.928647350100507
-493.8999999999986,10.928673187233418
-493.7999999999986,10.92869902436633
-493.69999999999857,10.92872486149924
-493.59999999999854,10.928750698632152
-493.4999999999985,10.928776535765065
-493.3999999999985,10.928802372897977
-493.2999999999985,10.928828210030888
-493.19999999999845,10.9288540471638
-493.09999999999843,10.92887988429671
-492.9999999999984,10.928905721429624
-492.8999999999984,10.928931558562535
-492.79999999999836,10.928957395695447
-492.69999999999834,10.928983232828358
-492.5999999999983,10.92900906996127
-492.4999999999983,10.92903490709418
-492.3999999999983,10.929060744227094
-492.29999999999825,10.929086581360005
-492.1999999999982,10.929112418492917
-492.0999999999982,10.929138255625828
-491.9999999999982,10.92916409275874
-491.89999999999816,10.929189929891653
-491.79999999999814,10.929215767024564
-491.6999999999981,10.929241604157475
-491.5999999999981,10.929267441290387
-491.49999999999807,10.929293278423298
-491.39999999999804,10.92931911555621
-491.299999999998,10.929344952689123
-491.199999999998,10.929370789822034
-491.099999999998,10.929396626954945
-490.99999999999795,10.929422464087857
-490.89999999999793,10.929448301220768
-490.7999999999979,10.929474138353681
-490.6999999999979,10.929499975486593
-490.59999999999786,10.929525812619504
-490.49999999999784,10.929551649752415
-490.3999999999978,10.929577486885327
-490.2999999999978,10.92960332401824
-490.1999999999978,10.929629161151151
-490.09999999999775,10.929654998284063
-489.9999999999977,10.929680835416974
-489.8999999999977,10.929706672549885
-489.7999999999977,10.929732509682797
-489.69999999999766,10.92975834681571
-489.59999999999764,10.929784183948621
-489.4999999999976,10.929810021081533
-489.3999999999976,10.929835858214444
-489.29999999999757,10.929861695347356
-489.19999999999754,10.929887532480269
-489.0999999999975,10.92991336961318
-488.9999999999975,10.929939206746091
-488.8999999999975,10.929965043879003
-488.79999999999745,10.929990881011914
-488.69999999999743,10.930016718144827
-488.5999999999974,10.930042555277739
-488.4999999999974,10.93006839241065
-488.39999999999736,10.930094229543561
-488.29999999999734,10.930120066676473
-488.1999999999973,10.930145903809384
-488.0999999999973,10.930171740942297
-487.99999999999727,10.930197578075209
-487.89999999999725,10.93022341520812
-487.7999999999972,10.930249252341032
-487.6999999999972,10.930275089473943
-487.5999999999972,10.930300926606856
-487.49999999999716,10.930326763739767
-487.39999999999714,10.930352600872679
-487.2999999999971,10.93037843800559
-487.1999999999971,10.930404275138502
-487.09999999999707,10.930430112271415
-486.99999999999704,10.930455949404326
-486.899999999997,10.930481786537237
-486.799999999997,10.930507623670149
-486.699999999997,10.93053346080306
-486.59999999999695,10.930559297935972
-486.49999999999693,10.930585135068885
-486.3999999999969,10.930610972201796
-486.2999999999969,10.930636809334707
-486.19999999999686,10.930662646467619
-486.09999999999684,10.93068848360053
-485.9999999999968,10.930714320733443
-485.8999999999968,10.930740157866355
-485.79999999999677,10.930765994999266
-485.69999999999675,10.930791832132178
-485.5999999999967,10.930817669265089
-485.4999999999967,10.930843506398
-485.3999999999967,10.930869343530913
-485.29999999999666,10.930895180663825
-485.19999999999663,10.930921017796736
-485.0999999999966,10.930946854929648
-484.9999999999966,10.930972692062559
-484.89999999999657,10.930998529195472
-484.79999999999654,10.931024366328383
-484.6999999999965,10.931050203461295
-484.5999999999965,10.931076040594206
-484.4999999999965,10.931101877727118
-484.39999999999645,10.93112771486003
-484.29999999999643,10.931153551992942
-484.1999999999964,10.931179389125854
-484.0999999999964,10.931205226258765
-483.99999999999636,10.931231063391676
-483.89999999999634,10.931256900524588
-483.7999999999963,10.9312827376575
-483.6999999999963,10.931308574790412
-483.59999999999627,10.931334411923324
-483.49999999999625,10.931360249056235
-483.3999999999962,10.931386086189146
-483.2999999999962,10.93141192332206
-483.1999999999962,10.93143776045497
-483.09999999999616,10.931463597587882
-482.99999999999613,10.931489434720794
-482.8999999999961,10.931515271853705
-482.7999999999961,10.931541108986618
-482.69999999999607,10.93156694611953
-482.59999999999604,10.93159278325244
-482.499999999996,10.931618620385352
-482.399999999996,10.931644457518264
-482.299999999996,10.931670294651175
-482.19999999999595,10.931696131784088
-482.09999999999593,10.931721968917
-481.9999999999959,10.931747806049911
-481.8999999999959,10.931773643182822
-481.79999999999586,10.931799480315734
-481.69999999999584,10.931825317448647
-481.5999999999958,10.931851154581558
-481.4999999999958,10.93187699171447
-481.39999999999577,10.931902828847381
-481.29999999999575,10.931928665980292
-481.1999999999957,10.931954503113205
-481.0999999999957,10.931980340246117
-480.9999999999957,10.932006177379028
-480.89999999999566,10.93203201451194
-480.79999999999563,10.932057851644851
-480.6999999999956,10.932083688777762
-480.5999999999956,10.932109525910676
-480.49999999999557,10.932135363043587
-480.39999999999554,10.932161200176498
-480.2999999999955,10.93218703730941
-480.1999999999955,10.932212874442321
-480.0999999999955,10.932238711575234
-479.99999999999545,10.932264548708146
-479.89999999999543,10.932290385841057
-479.7999999999954,10.932316222973968
-479.6999999999954,10.93234206010688
-479.59999999999536,10.932367897239791
-479.49999999999534,10.932393734372704
-479.3999999999953,10.932419571505616
