Range Time (seconds),Specific Impulse
558.0,4159.067750677507
558.1,4159.856910569107
558.2,4160.646070460706
558.3000000000001,4161.435230352305
558.4000000000001,4162.224390243904
558.5000000000001,4163.013550135503
558.6000000000001,4163.802710027102
558.7000000000002,4164.591869918701
558.8000000000002,4165.3810298103
558.9000000000002,4166.170189701899
559.0000000000002,4166.959349593498
559.1000000000003,4167.748509485097
559.2000000000003,4168.537669376697
559.3000000000003,4169.326829268295
559.4000000000003,4170.1159891598945
559.5000000000003,4170.905149051494
559.6000000000004,4171.694308943092
559.7000000000004,4172.483468834692
559.8000000000004,4173.27262872629
559.9000000000004,4174.06178861789
560.0000000000005,4174.850948509489
560.1000000000005,4175.640108401088
560.2000000000005,4176.429268292687
560.3000000000005,4177.2184281842865
560.4000000000005,4178.007588075885
560.5000000000006,4178.796747967484
560.6000000000006,4179.585907859083
560.7000000000006,4180.375067750682
560.8000000000006,4180.8693766937695
560.9000000000007,4181.314543812107
561.0000000000007,4181.759710930445
561.1000000000007,4182.204878048783
561.2000000000007,4182.650045167122
561.3000000000008,4183.09521228546
561.4000000000008,4183.5403794037975
561.5000000000008,4183.985546522135
561.6000000000008,4184.430713640473
561.7000000000008,4184.875880758811
561.8000000000009,4185.321047877149
561.9000000000009,4185.766214995487
562.0000000000009,4186.2113821138255
562.1000000000009,4186.656549232163
562.200000000001,4187.101716350501
562.300000000001,4187.546883468839
562.400000000001,4187.992050587177
562.500000000001,4188.437217705515
562.600000000001,4188.882384823853
562.7000000000011,4189.32755194219
562.8000000000011,4189.772719060529
562.9000000000011,4190.217886178867
563.0000000000011,4190.663053297205
563.1000000000012,4191.108220415543
563.2000000000012,4191.553387533881
563.3000000000012,4191.998554652218
563.4000000000012,4192.443721770556
563.5000000000013,4192.888888888894
563.6000000000013,4193.334056007233
563.7000000000013,4193.779223125571
563.8000000000013,4194.034146341466
563.9000000000013,4194.216260162604
564.0000000000014,4194.398373983742
564.1000000000014,4194.58048780488
564.2000000000014,4194.762601626019
564.3000000000014,4194.944715447157
564.4000000000015,4195.126829268295
564.5000000000015,4195.308943089433
564.6000000000015,4195.491056910572
564.7000000000015,4195.67317073171
564.8000000000015,4195.855284552848
564.9000000000016,4196.037398373986
565.0000000000016,4196.2195121951245
565.1000000000016,4196.401626016263
565.2000000000016,4196.5837398374015
565.3000000000017,4196.7658536585395
565.4000000000017,4196.947967479678
565.5000000000017,4197.1300813008165
565.6000000000017,4197.312195121955
565.7000000000018,4197.494308943093
565.8000000000018,4197.676422764231
565.9000000000018,4197.858536585369
566.0000000000018,4198.040650406508
566.1000000000018,4198.222764227646
566.2000000000019,4198.404878048784
566.3000000000019,4198.586991869922
566.4000000000019,4198.769105691061
566.5000000000019,4198.951219512199
566.600000000002,4199.133333333337
566.700000000002,4199.315447154475
566.800000000002,4199.497560975613
566.900000000002,4199.679674796752
567.000000000002,4199.86178861789
567.1000000000021,4200.013863928114
567.2000000000021,4200.071373555842
567.3000000000021,4200.12888318357
567.4000000000021,4200.186392811298
567.5000000000022,4200.243902439026
567.6000000000022,4200.301412066753
567.7000000000022,4200.358921694481
567.8000000000022,4200.416431322209
567.9000000000023,4200.473940949937
568.0000000000023,4200.531450577665
568.1000000000023,4200.588960205393
568.2000000000023,4200.646469833121
568.3000000000023,4200.703979460849
568.4000000000024,4200.761489088576
568.5000000000024,4200.818998716304
568.6000000000024,4200.876508344032
568.7000000000024,4200.93401797176
568.8000000000025,4200.991527599488
568.9000000000025,4201.049037227216
569.0000000000025,4201.106546854944
569.1000000000025,4201.164056482671
569.2000000000025,4201.221566110399
569.3000000000026,4201.279075738127
569.4000000000026,4201.336585365855
569.5000000000026,4201.394094993583
569.6000000000026,4201.451604621311
569.7000000000027,4201.509114249039
569.8000000000027,4201.566623876767
569.9000000000027,4201.624133504494
570.0000000000027,4201.681643132222
570.1000000000028,4201.73915275995
570.2000000000028,4201.796662387678
570.3000000000028,4201.854172015406
570.4000000000028,4201.911681643134
570.5000000000028,4201.969191270862
570.6000000000029,4202.026700898589
570.7000000000029,4202.084210526317
570.8000000000029,4202.141720154045
570.9000000000029,4202.199229781773
571.000000000003,4202.256739409501
571.100000000003,4202.314249037229
571.200000000003,4202.371758664957
571.300000000003,4202.429268292685
571.400000000003,4202.486777920412
571.5000000000031,4202.54428754814
571.6000000000031,4202.601797175868
571.7000000000031,4202.659306803596
571.8000000000031,4202.716816431324
571.9000000000032,4202.774326059052
572.0000000000032,4202.83183568678
572.1000000000032,4202.889345314507
572.2000000000032,4202.946854942235
572.3000000000033,4203.004364569963
572.4000000000033,4203.061874197691
572.5000000000033,4203.119383825419
572.6000000000033,4203.176893453147
572.7000000000033,4203.234403080875
572.8000000000034,4203.291912708603
572.9000000000034,4203.3494223363305
573.0000000000034,4203.4069319640585
573.1000000000034,4203.464441591786
573.2000000000035,4203.521951219514
573.3000000000035,4203.579460847242
573.4000000000035,4203.63697047497
573.5000000000035,4203.6547425474255
573.6000000000035,4203.648672086721
573.7000000000036,4203.642601626017
573.8000000000036,4203.636531165312
573.9000000000036,4203.630460704607
574.0000000000036,4203.624390243903
574.1000000000037,4203.618319783198
574.2000000000037,4203.612249322493
574.3000000000037,4203.606178861789
574.4000000000037,4203.600108401084
574.5000000000038,4203.594037940379
574.6000000000038,4203.587967479675
574.7000000000038,4203.58189701897
574.8000000000038,4203.575826558265
574.9000000000038,4203.569756097561
575.0000000000039,4203.5636856368565
575.1000000000039,4203.557615176152
575.2000000000039,4203.551544715448
575.3000000000039,4203.545474254743
575.400000000004,4203.539403794038
575.500000000004,4203.533333333334
575.600000000004,4203.527262872629
575.700000000004,4203.521192411924
575.800000000004,4203.515121951219
575.9000000000041,4203.509051490515
576.0000000000041,4203.50298102981
576.1000000000041,4203.496910569105
576.2000000000041,4203.490840108401
576.3000000000042,4203.484769647696
576.4000000000042,4203.478699186991
576.5000000000042,4203.472628726287
576.6000000000042,4203.4665582655825
576.7000000000043,4203.460487804878
576.8000000000043,4203.454417344174
576.9000000000043,4203.448346883469
577.0000000000043,4203.442276422764
577.1000000000043,4203.43620596206
577.2000000000044,4203.430135501355
577.3000000000044,4203.42406504065
577.4000000000044,4203.417994579946
577.5000000000044,4203.411924119241
577.6000000000045,4203.405853658536
577.7000000000045,4203.399783197832
577.8000000000045,4203.393712737127
577.9000000000045,4203.387642276422
578.0000000000045,4203.381571815718
578.1000000000046,4203.3755013550135
578.2000000000046,4203.369430894309
578.3000000000046,4203.363360433605
578.4000000000046,4203.3572899729
578.5000000000047,4203.351219512195
578.6000000000047,4203.345149051491
578.7000000000047,4203.339078590786
578.8000000000047,4203.333008130081
578.9000000000048,4203.326937669376
579.0000000000048,4203.320867208672
579.1000000000048,4203.314796747967
579.2000000000048,4203.308726287262
579.3000000000048,4203.302655826558
579.4000000000049,4203.296585365853
579.5000000000049,4203.2905149051485
579.6000000000049,4203.2844444444445
579.7000000000049,4203.27837398374
579.800000000005,4203.272303523035
579.900000000005,4203.266233062331
580.000000000005,4203.260162601626
580.100000000005,4203.254092140921
580.200000000005,4203.248021680217
580.3000000000051,4203.241951219512
580.4000000000051,4203.235880758807
580.5000000000051,4203.229810298103
580.6000000000051,4203.223739837398
580.7000000000052,4203.217669376693
580.8000000000052,4203.211598915989
580.9000000000052,4203.205528455284
581.0000000000052,4203.1994579945795
581.1000000000053,4203.1933875338755
581.2000000000053,4203.187317073171
581.3000000000053,4203.181246612466
581.4000000000053,4203.175176151762
581.5000000000053,4203.169105691057
581.6000000000054,4203.163035230352
581.7000000000054,4203.156964769647
581.8000000000054,4203.150894308943
581.9000000000054,4203.144823848238
582.0000000000055,4203.138753387533
582.1000000000055,4203.132682926829
582.2000000000055,4203.126612466124
582.3000000000055,4203.120542005419
582.4000000000055,4203.114471544715
582.5000000000056,4203.10840108401
582.6000000000056,4203.1023306233055
582.7000000000056,4203.0962601626015
582.8000000000056,4203.090189701897
582.9000000000057,4203.084119241192
583.0000000000057,4203.078048780488
583.1000000000057,4203.071978319783
583.2000000000057,4203.065907859078
583.3000000000058,4203.059837398374
583.4000000000058,4203.053766937669
583.5000000000058,4203.047696476964
583.6000000000058,4203.04162601626
583.7000000000058,4203.035555555555
583.8000000000059,4203.02948509485
583.9000000000059,4203.023414634146
584.0000000000059,4203.017344173441
584.1000000000059,4203.0112737127365
584.200000000006,4203.0052032520325
584.300000000006,4202.999132791328
584.400000000006,4202.993062330623
584.500000000006,4202.986991869918
584.600000000006,4202.980921409214
584.7000000000061,4202.974850948509
584.8000000000061,4202.968780487804
584.9000000000061,4202.9627100271
585.0000000000061,4202.956639566395
585.1000000000062,4202.95056910569
585.2000000000062,4202.944498644986
585.3000000000062,4202.938428184281
585.4000000000062,4202.932357723576
585.5000000000063,4202.926287262872
585.6000000000063,4202.9202168021675
585.7000000000063,4202.914146341463
585.8000000000063,4202.908075880759
585.9000000000063,4202.902005420054
586.0000000000064,4202.895934959349
586.1000000000064,4202.889864498645
586.2000000000064,4202.88379403794
586.3000000000064,4202.877723577235
586.4000000000065,4202.871653116531
586.5000000000065,4202.865582655826
586.6000000000065,4202.859512195121
586.7000000000065,4202.853441734417
586.8000000000065,4202.847371273712
586.9000000000066,4202.841300813007
587.0000000000066,4202.835230352303
587.1000000000066,4202.8291598915985
587.2000000000066,4202.823089430894
587.3000000000067,4202.81701897019
587.4000000000067,4202.810948509485
587.5000000000067,4202.80487804878
587.6000000000067,4202.798807588075
587.7000000000068,4202.792737127371
587.8000000000068,4202.786666666666
587.9000000000068,4202.780596205961
588.0000000000068,4202.774525745257
588.1000000000068,4202.768455284552
588.2000000000069,4202.762384823847
588.3000000000069,4202.756314363143
588.4000000000069,4202.750243902438
588.5000000000069,4202.744173441733
588.600000000007,4202.738102981029
588.700000000007,4202.7320325203245
588.800000000007,4202.72596205962
588.900000000007,4202.719891598916
589.000000000007,4202.713821138211
589.1000000000071,4202.707750677506
589.2000000000071,4202.701680216802
589.3000000000071,4202.695609756097
589.4000000000071,4202.689539295392
589.5000000000072,4202.683468834688
589.6000000000072,4202.677398373983
589.7000000000072,4202.671327913278
589.8000000000072,4202.665257452574
589.9000000000073,4202.659186991869
590.0000000000073,4202.653116531164
590.1000000000073,4202.64704607046
590.2000000000073,4202.6409756097555
590.3000000000073,4202.634905149051
590.4000000000074,4202.628834688346
590.5000000000074,4202.622764227642
590.6000000000074,4202.616693766937
590.7000000000074,4202.610623306232
590.8000000000075,4202.604552845528
590.9000000000075,4202.598482384823
591.0000000000075,4202.592411924118
591.1000000000075,4202.586341463414
591.2000000000075,4202.580271002709
591.3000000000076,4202.574200542004
591.4000000000076,4202.5681300813
591.5000000000076,4202.562059620595
591.6000000000076,4202.5559891598905
591.7000000000077,4202.5499186991865
591.8000000000077,4202.543848238482
591.9000000000077,4202.537777777777
592.0000000000077,4202.531707317073
592.1000000000078,4202.525636856368
592.2000000000078,4202.519566395663
592.3000000000078,4202.513495934959
592.4000000000078,4202.507425474254
592.5000000000078,4202.501355013549
592.6000000000079,4202.495284552845
592.7000000000079,4202.48921409214
592.8000000000079,4202.483143631435
592.9000000000079,4202.477073170731
593.000000000008,4202.471002710026
593.100000000008,4202.4649322493215
593.200000000008,4202.458861788617
593.300000000008,4202.452791327913
593.400000000008,4202.446720867208
593.5000000000081,4202.440650406503
593.6000000000081,4202.443544164255
593.7000000000081,4202.449717514124
593.8000000000081,4202.455890863994
