Range Time (seconds),Flowrate
558.0,209.28806584362144
558.1,209.38024691358032
558.2,209.47242798353918
558.3000000000001,209.56460905349806
558.4000000000001,209.65679012345691
558.5000000000001,209.7489711934158
558.6000000000001,209.84115226337465
558.7000000000002,209.9333333333335
558.8000000000002,210.0255144032924
558.9000000000002,210.11769547325125
559.0000000000002,210.20987654321013
559.1000000000003,210.30205761316898
559.2000000000003,210.39423868312784
559.3000000000003,210.48641975308672
559.4000000000003,210.57860082304558
559.5000000000003,210.67078189300446
559.6000000000004,210.76296296296331
559.7000000000004,210.8551440329222
559.8000000000004,210.94732510288105
559.9000000000004,211.0395061728399
560.0000000000005,211.1316872427988
560.1000000000005,211.22386831275765
560.2000000000005,211.31604938271653
560.3000000000005,211.40823045267538
560.4000000000005,211.50041152263427
560.5000000000006,211.59259259259312
560.6000000000006,211.68477366255198
560.7000000000006,211.77695473251086
560.8000000000006,211.8691358024697
560.9000000000007,211.9613168724286
561.0000000000007,212.05349794238745
561.1000000000007,212.14567901234633
561.2000000000007,212.2378600823052
561.3000000000008,212.33004115226404
561.4000000000008,212.42222222222293
561.5000000000008,212.51440329218178
561.6000000000008,212.60658436214067
561.7000000000008,212.69876543209952
561.8000000000009,212.7909465020584
561.9000000000009,212.88312757201726
562.0000000000009,212.9753086419761
562.1000000000009,213.05192667414943
562.200000000001,213.11058735503235
562.300000000001,213.16924803591527
562.400000000001,213.22790871679817
562.500000000001,213.2865693976811
562.600000000001,213.34523007856401
562.7000000000011,213.40389075944694
562.8000000000011,213.46255144032986
562.9000000000011,213.52121212121276
563.0000000000011,213.57987280209568
563.1000000000012,213.6385334829786
563.2000000000012,213.69719416386152
563.3000000000012,213.75585484474445
563.4000000000012,213.81451552562734
563.5000000000013,213.87317620651027
563.6000000000013,213.9318368873932
563.7000000000013,213.9904975682761
563.8000000000013,214.04915824915903
563.9000000000013,214.10781893004193
564.0000000000014,214.16647961092485
564.1000000000014,214.22514029180778
564.2000000000014,214.2838009726907
564.3000000000014,214.34246165357362
564.4000000000015,214.40112233445652
564.5000000000015,214.45978301533944
564.6000000000015,214.51844369622236
564.7000000000015,214.5771043771053
564.8000000000015,214.6357650579882
564.9000000000016,214.69442573887113
565.0000000000016,214.75308641975403
565.1000000000016,214.81174710063695
565.2000000000016,214.87040778151987
565.3000000000017,214.9290684624028
565.4000000000017,214.98772914328572
565.5000000000017,215.0463898241686
565.6000000000017,215.10505050505154
565.7000000000018,215.16371118593446
565.8000000000018,215.18826077539538
565.9000000000018,215.19311241065637
566.0000000000018,215.19796404591736
566.1000000000018,215.20281568117835
566.2000000000019,215.20766731643934
566.3000000000019,215.21251895170033
566.4000000000019,215.21737058696132
566.5000000000019,215.2222222222223
566.600000000002,215.2270738574833
566.700000000002,215.2319254927443
566.800000000002,215.2367771280053
566.900000000002,215.2416287632663
567.000000000002,215.2464803985273
567.1000000000021,215.2513320337883
567.2000000000021,215.25618366904928
567.3000000000021,215.26103530431027
567.4000000000021,215.26588693957126
567.5000000000022,215.27073857483225
567.6000000000022,215.27559021009324
567.7000000000022,215.28044184535423
567.8000000000022,215.28529348061522
567.9000000000023,215.29014511587621
568.0000000000023,215.2949967511372
568.1000000000023,215.2998483863982
568.2000000000023,215.3047000216592
568.3000000000023,215.3095516569202
568.4000000000024,215.3144032921812
568.5000000000024,215.3192549274422
568.6000000000024,215.32410656270318
568.7000000000024,215.32895819796417
568.8000000000025,215.33380983322516
568.9000000000025,215.33866146848615
569.0000000000025,215.34351310374714
569.1000000000025,215.34836473900813
569.2000000000025,215.35321637426912
569.3000000000026,215.35806800953011
569.4000000000026,215.3629196447911
569.5000000000026,215.3677712800521
569.6000000000026,215.3726229153131
569.7000000000027,215.3774745505741
569.8000000000027,215.3823261858351
569.9000000000027,215.3871778210961
570.0000000000027,215.39202945635708
570.1000000000028,215.39688109161807
570.2000000000028,215.40173272687906
570.3000000000028,215.40658436214005
570.4000000000028,215.41143599740104
570.5000000000028,215.41628763266203
570.6000000000029,215.42113926792302
570.7000000000029,215.42599090318402
570.8000000000029,215.430842538445
570.9000000000029,215.435694173706
571.000000000003,215.440545808967
571.100000000003,215.445397444228
571.200000000003,215.450249079489
571.300000000003,215.45510071475
571.400000000003,215.45995235001098
571.5000000000031,215.46480398527197
571.6000000000031,215.46965562053296
571.7000000000031,215.47450725579395
571.8000000000031,215.47935889105494
571.9000000000032,215.48421052631593
572.0000000000032,215.48906216157692
572.1000000000032,215.49382716049382
572.2000000000032,215.49382716049382
572.3000000000033,215.49382716049382
572.4000000000033,215.49382716049382
572.5000000000033,215.49382716049382
572.6000000000033,215.49382716049382
572.7000000000033,215.49382716049382
572.8000000000034,215.49382716049382
572.9000000000034,215.49382716049382
573.0000000000034,215.49382716049382
573.1000000000034,215.49382716049382
573.2000000000035,215.49382716049382
573.3000000000035,215.49382716049382
573.4000000000035,215.49382716049382
573.5000000000035,215.49382716049382
573.6000000000035,215.49382716049382
573.7000000000036,215.49382716049382
573.8000000000036,215.49382716049382
573.9000000000036,215.49382716049382
574.0000000000036,215.49382716049382
574.1000000000037,215.49382716049382
574.2000000000037,215.49382716049382
574.3000000000037,215.49382716049382
574.4000000000037,215.49382716049382
574.5000000000038,215.49382716049382
574.6000000000038,215.49382716049382
574.7000000000038,215.49382716049382
574.8000000000038,215.49382716049382
574.9000000000038,215.49382716049382
575.0000000000039,215.49382716049382
575.1000000000039,215.49382716049382
575.2000000000039,215.49382716049382
575.3000000000039,215.49382716049382
575.400000000004,215.49382716049382
575.500000000004,215.49382716049382
575.600000000004,215.49382716049382
575.700000000004,215.49382716049382
575.800000000004,215.49382716049382
575.9000000000041,215.49382716049382
576.0000000000041,215.49382716049382
576.1000000000041,215.49382716049382
576.2000000000041,215.49382716049382
576.3000000000042,215.49382716049382
576.4000000000042,215.49382716049382
576.5000000000042,215.49382716049382
576.6000000000042,215.49382716049382
576.7000000000043,215.49382716049382
576.8000000000043,215.49382716049382
576.9000000000043,215.49382716049382
577.0000000000043,215.49382716049382
577.1000000000043,215.49382716049382
577.2000000000044,215.49382716049382
577.3000000000044,215.49382716049382
577.4000000000044,215.49382716049382
577.5000000000044,215.49382716049382
577.6000000000045,215.49382716049382
577.7000000000045,215.49382716049382
577.8000000000045,215.49382716049382
577.9000000000045,215.49382716049382
578.0000000000045,215.49382716049382
578.1000000000046,215.49382716049382
578.2000000000046,215.49382716049382
578.3000000000046,215.49382716049382
578.4000000000046,215.49382716049382
578.5000000000047,215.49382716049382
578.6000000000047,215.49382716049382
578.7000000000047,215.49382716049382
578.8000000000047,215.49382716049382
578.9000000000048,215.49382716049382
579.0000000000048,215.49382716049382
579.1000000000048,215.49382716049382
579.2000000000048,215.49382716049382
579.3000000000048,215.49382716049382
579.4000000000049,215.49382716049382
579.5000000000049,215.49382716049382
579.6000000000049,215.49382716049382
579.7000000000049,215.49382716049382
579.800000000005,215.49382716049382
579.900000000005,215.49382716049382
580.000000000005,215.49382716049382
