Range Time (seconds),Fuel Tank Pressure
-500.0,11.014839319470699
-499.9,11.01485741020794
-499.79999999999995,11.014875500945179
-499.69999999999993,11.01489359168242
-499.5999999999999,11.01491168241966
-499.4999999999999,11.014929773156899
-499.39999999999986,11.01494786389414
-499.29999999999984,11.01496595463138
-499.1999999999998,11.01498404536862
-499.0999999999998,11.01500213610586
-498.9999999999998,11.0150202268431
-498.89999999999975,11.01503831758034
-498.7999999999997,11.01505640831758
-498.6999999999997,11.01507449905482
-498.5999999999997,11.01509258979206
-498.49999999999966,11.0151106805293
-498.39999999999964,11.015128771266541
-498.2999999999996,11.01514686200378
-498.1999999999996,11.01516495274102
-498.09999999999957,11.015183043478261
-497.99999999999955,11.0152011342155
-497.8999999999995,11.015219224952741
-497.7999999999995,11.015237315689982
-497.6999999999995,11.01525540642722
-497.59999999999945,11.015273497164461
-497.49999999999943,11.015291587901702
-497.3999999999994,11.01530967863894
-497.2999999999994,11.015327769376182
-497.19999999999936,11.015345860113422
-497.09999999999934,11.015363950850661
-496.9999999999993,11.015382041587902
-496.8999999999993,11.015400132325142
-496.7999999999993,11.015418223062381
-496.69999999999925,11.015436313799622
-496.5999999999992,11.015454404536863
-496.4999999999992,11.015472495274102
-496.3999999999992,11.015490586011342
-496.29999999999916,11.015508676748581
-496.19999999999914,11.015526767485822
-496.0999999999991,11.015544858223063
-495.9999999999991,11.015562948960302
-495.89999999999907,11.015581039697542
-495.79999999999905,11.015599130434783
-495.699999999999,11.015617221172022
-495.599999999999,11.015635311909262
-495.499999999999,11.015653402646503
-495.39999999999895,11.015671493383742
-495.29999999999893,11.015689584120983
-495.1999999999989,11.015707674858223
-495.0999999999989,11.015725765595462
-494.99999999999886,11.015743856332703
-494.89999999999884,11.015761947069944
-494.7999999999988,11.015780037807183
-494.6999999999988,11.015798128544423
-494.5999999999988,11.015816219281664
-494.49999999999875,11.015834310018903
-494.3999999999987,11.015852400756144
-494.2999999999987,11.015870491493384
-494.1999999999987,11.015888582230623
-494.09999999999866,11.015906672967864
-493.99999999999864,11.015924763705105
-493.8999999999986,11.015942854442343
-493.7999999999986,11.015960945179584
-493.69999999999857,11.015979035916825
-493.59999999999854,11.015997126654064
-493.4999999999985,11.016015217391304
-493.3999999999985,11.016033308128545
-493.2999999999985,11.016051398865784
-493.19999999999845,11.016069489603025
-493.09999999999843,11.016087580340265
-492.9999999999984,11.016105671077504
-492.8999999999984,11.016123761814745
-492.79999999999836,11.016141852551986
-492.69999999999834,11.016159943289225
-492.5999999999983,11.016178034026465
-492.4999999999983,11.016196124763706
-492.3999999999983,11.016214215500945
-492.29999999999825,11.016232306238186
-492.1999999999982,11.016250396975426
-492.0999999999982,11.016268487712665
-491.9999999999982,11.016286578449906
-491.89999999999816,11.016304669187146
-491.79999999999814,11.016322759924385
-491.6999999999981,11.016340850661626
-491.5999999999981,11.016358941398867
-491.49999999999807,11.016377032136106
-491.39999999999804,11.016395122873346
-491.299999999998,11.016413213610585
-491.199999999998,11.016431304347826
-491.099999999998,11.016449395085067
-490.99999999999795,11.016467485822306
-490.89999999999793,11.016485576559546
-490.7999999999979,11.016503667296787
-490.6999999999979,11.016521758034026
-490.59999999999786,11.016539848771266
-490.49999999999784,11.016557939508507
-490.3999999999978,11.016576030245746
-490.2999999999978,11.016594120982987
-490.1999999999978,11.016612211720227
-490.09999999999775,11.016630302457466
-489.9999999999977,11.016648393194707
-489.8999999999977,11.016666483931948
-489.7999999999977,11.016684574669187
-489.69999999999766,11.016702665406427
-489.59999999999764,11.016720756143668
-489.4999999999976,11.016738846880907
-489.3999999999976,11.016756937618148
-489.29999999999757,11.016775028355388
-489.19999999999754,11.016793119092627
-489.0999999999975,11.016811209829868
-488.9999999999975,11.016829300567109
-488.8999999999975,11.016847391304347
-488.79999999999745,11.016865482041588
-488.69999999999743,11.016883572778829
-488.5999999999974,11.016901663516068
-488.4999999999974,11.016919754253308
-488.39999999999736,11.016937844990549
-488.29999999999734,11.016955935727788
-488.1999999999973,11.016974026465029
-488.0999999999973,11.01699211720227
-487.99999999999727,11.017010207939508
-487.89999999999725,11.017028298676749
-487.7999999999972,11.01704638941399
-487.6999999999972,11.017064480151229
-487.5999999999972,11.01708257088847
-487.49999999999716,11.01710066162571
-487.39999999999714,11.017118752362949
-487.2999999999971,11.01713684310019
-487.1999999999971,11.01715493383743
-487.09999999999707,11.017173024574669
-486.99999999999704,11.01719111531191
-486.899999999997,11.01720920604915
-486.799999999997,11.01722729678639
-486.699999999997,11.01724538752363
-486.59999999999695,11.01726347826087
-486.49999999999693,11.01728156899811
-486.3999999999969,11.01729965973535
-486.2999999999969,11.01731775047259
-486.19999999999686,11.01733584120983
-486.09999999999684,11.01735393194707
-485.9999999999968,11.01737202268431
-485.8999999999968,11.01739011342155
-485.79999999999677,11.01740820415879
-485.69999999999675,11.01742629489603
-485.5999999999967,11.01744438563327
-485.4999999999967,11.017462476370511
-485.3999999999967,11.01748056710775
-485.29999999999666,11.01749865784499
-485.19999999999663,11.017516748582231
-485.0999999999966,11.01753483931947
-484.9999999999966,11.017552930056711
-484.89999999999657,11.017571020793952
-484.79999999999654,11.01758911153119
-484.6999999999965,11.017607202268431
-484.5999999999965,11.017625293005672
-484.4999999999965,11.01764338374291
-484.39999999999645,11.017661474480152
-484.29999999999643,11.017679565217392
-484.1999999999964,11.017697655954631
-484.0999999999964,11.017715746691872
-483.99999999999636,11.017733837429112
-483.89999999999634,11.017751928166351
-483.7999999999963,11.017770018903592
-483.6999999999963,11.017788109640833
-483.59999999999627,11.017806200378072
-483.49999999999625,11.017824291115312
-483.3999999999962,11.017842381852553
-483.2999999999962,11.017860472589792
-483.1999999999962,11.017878563327033
-483.09999999999616,11.017896654064273
-482.99999999999613,11.017914744801512
-482.8999999999961,11.017932835538753
-482.7999999999961,11.017950926275994
-482.69999999999607,11.017969017013233
-482.59999999999604,11.017987107750473
-482.499999999996,11.018005198487714
-482.399999999996,11.018023289224953
-482.299999999996,11.018041379962193
-482.19999999999595,11.018059470699434
-482.09999999999593,11.018077561436673
-481.9999999999959,11.018095652173914
-481.8999999999959,11.018113742911154
-481.79999999999586,11.018131833648393
-481.69999999999584,11.018149924385634
-481.5999999999958,11.018168015122875
-481.4999999999958,11.018186105860114
-481.39999999999577,11.018204196597354
-481.29999999999575,11.018222287334593
-481.1999999999957,11.018240378071834
-481.0999999999957,11.018258468809075
-480.9999999999957,11.018276559546313
-480.89999999999566,11.018294650283554
-480.79999999999563,11.018312741020795
-480.6999999999956,11.018330831758034
-480.5999999999956,11.018348922495274
-480.49999999999557,11.018367013232515
-480.39999999999554,11.018385103969754
-480.2999999999955,11.018403194706995
-480.1999999999955,11.018421285444235
-480.0999999999955,11.018439376181474
-479.99999999999545,11.018457466918715
-479.89999999999543,11.018475557655956
-479.7999999999954,11.018493648393195
-479.6999999999954,11.018511739130435
-479.59999999999536,11.018529829867676
-479.49999999999534,11.018547920604915
-479.3999999999953,11.018566011342156
-479.2999999999953,11.018584102079396
-479.19999999999527,11.018602192816635
-479.09999999999525,11.018620283553876
-478.9999999999952,11.018638374291116
-478.8999999999952,11.018656465028355
-478.7999999999952,11.018674555765596
-478.69999999999516,11.018692646502837
-478.59999999999513,11.018710737240076
-478.4999999999951,11.018728827977316
-478.3999999999951,11.018746918714557
-478.29999999999507,11.018765009451796
-478.19999999999504,11.018783100189037
-478.099999999995,11.018801190926277
-477.999999999995,11.018819281663516
-477.899999999995,11.018837372400757
-477.79999999999495,11.018855463137998
-477.69999999999493,11.018873553875236
-477.5999999999949,11.018891644612477
-477.4999999999949,11.018909735349718
-477.39999999999486,11.018927826086957
-477.29999999999484,11.018945916824197
-477.1999999999948,11.018964007561438
-477.0999999999948,11.018982098298677
-476.99999999999477,11.019000189035918
-476.89999999999475,11.019018279773158
-476.7999999999947,11.019036370510397
-476.6999999999947,11.019054461247638
-476.5999999999947,11.019072551984877
-476.49999999999466,11.019090642722118
-476.39999999999463,11.019108733459358
-476.2999999999946,11.019126824196597
-476.1999999999946,11.019144914933838
-476.09999999999457,11.019163005671079
-475.99999999999454,11.019181096408317
-475.8999999999945,11.019199187145558
-475.7999999999945,11.019217277882799
-475.6999999999945,11.019235368620038
-475.59999999999445,11.019253459357278
-475.49999999999443,11.019271550094519
-475.3999999999944,11.019289640831758
-475.2999999999944,11.019307731568999
-475.19999999999436,11.01932582230624
-475.09999999999434,11.019343913043478
-474.9999999999943,11.019362003780719
-474.8999999999943,11.01938009451796
-474.79999999999427,11.019398185255199
-474.69999999999425,11.01941627599244
-474.5999999999942,11.01943436672968
-474.4999999999942,11.019452457466919
-474.3999999999942,11.01947054820416
-474.29999999999416,11.0194886389414
-474.19999999999413,11.019506729678639
-474.0999999999941,11.01952482041588
-473.9999999999941,11.01954291115312
-473.89999999999407,11.01956100189036
-473.79999999999404,11.0195790926276
-473.699999999994,11.01959718336484
-473.599999999994,11.01961527410208
-473.499999999994,11.01963336483932
-473.39999999999395,11.019651455576561
-473.29999999999393,11.0196695463138
-473.1999999999939,11.01968763705104
-473.0999999999939,11.019705727788281
-472.99999999999386,11.01972381852552
-472.89999999999384,11.01974190926276
-472.7999999999938,11.019760000000002
-472.6999999999938,11.01977809073724
-472.59999999999377,11.019796181474481
-472.49999999999375,11.019814272211722
-472.3999999999937,11.01983236294896
-472.2999999999937,11.019850453686201
-472.1999999999937,11.019868544423442
-472.09999999999366,11.019886635160681
-471.99999999999363,11.019904725897922
