Range Time (seconds),Flowrate
0.0,0.0
0.1,0.09117898556840241
0.2,0.18235797113680483
0.30000000000000004,0.2735369567052073
0.4,0.36471594227360965
0.5,0.455894927842012
0.6000000000000001,0.5470739134104146
0.7000000000000001,0.6382528989788169
0.8,0.7294318845472193
0.9,0.8206108701156216
1.0,0.911789855684024
1.1,1.0029688412524265
1.2000000000000002,1.0941478268208291
1.3,1.1853268123892313
1.4000000000000001,1.2765057979576337
1.5,1.3163969514947143
1.6,1.3164190733395222
1.7000000000000002,1.3164411951843304
1.8,1.3164633170291384
1.9000000000000001,1.3164854388739464
2.0,1.3165075607187544
2.1,1.3165296825635626
2.2,1.3165518044083706
2.3000000000000003,1.3165739262531786
2.4000000000000004,1.3165960480979866
2.5,1.3166181699427948
2.6,1.3166402917876028
2.7,1.3166624136324108
2.8000000000000003,1.3166845354772188
2.9000000000000004,1.3167066573220267
3.0,1.316728779166835
3.1,1.316750901011643
3.2,1.316773022856451
3.3000000000000003,1.316795144701259
3.4000000000000004,1.3168172665460671
3.5,1.316839388390875
3.6,1.316861510235683
3.7,1.316883632080491
3.8000000000000003,1.3169057539252993
3.9000000000000004,1.3169278757701073
4.0,1.3169499976149153
4.1000000000000005,1.3169721194597233
4.2,1.3169942413045312
4.3,1.3170163631493395
4.4,1.3170384849941474
4.5,1.3170606068389554
4.6000000000000005,1.3170827286837634
4.7,1.3171048505285716
4.800000000000001,1.3171269723733796
4.9,1.3171490942181876
5.0,1.3171712160629956
5.1000000000000005,1.3171933379078038
5.2,1.3172154597526118
5.300000000000001,1.3172375815974198
5.4,1.3172597034422278
5.5,1.3172818252870357
5.6000000000000005,1.317303947131844
5.7,1.317326068976652
5.800000000000001,1.31734819082146
5.9,1.317370312666268
6.0,1.3173924345110761
6.1000000000000005,1.3174145563558841
6.2,1.317436678200692
6.300000000000001,1.3174588000455
6.4,1.3174809218903083
6.5,1.3175030437351163
6.6000000000000005,1.3175251655799243
6.7,1.3175472874247323
6.800000000000001,1.3175694092695402
6.9,1.3175915311143485
7.0,1.3176136529591564
7.1000000000000005,1.3176357748039644
7.2,1.3176578966487724
7.300000000000001,1.3176800184935806
7.4,1.3177021403383886
7.5,1.3177242621831966
7.6000000000000005,1.3177463840280046
7.7,1.3177685058728128
7.800000000000001,1.3177906277176208
7.9,1.3178127495624288
8.0,1.3178348714072368
8.1,1.3178569932520448
8.200000000000001,1.317879115096853
8.3,1.317901236941661
8.4,1.317923358786469
8.5,1.317945480631277
8.6,1.3179676024760851
8.700000000000001,1.3179897243208931
8.8,1.318011846165701
8.9,1.318033968010509
9.0,1.3180560898553173
9.1,1.3180782117001253
9.200000000000001,1.3181003335449333
9.3,1.3181224553897413
9.4,1.3181445772345493
9.5,1.3181666990793575
9.600000000000001,1.3181888209241654
9.700000000000001,1.3182109427689734
9.8,1.318209334121023
9.9,1.3181881340197485
10.0,1.3181669339184743
10.100000000000001,1.3181457338171998
10.200000000000001,1.3181245337159255
10.3,1.318103333614651
10.4,1.3180821335133768
10.5,1.3180609334121025
10.600000000000001,1.318039733310828
10.700000000000001,1.3180185332095538
10.8,1.3179973331082793
10.9,1.317976133007005
11.0,1.3179549329057305
11.100000000000001,1.3179337328044562
11.200000000000001,1.3179125327031818
11.3,1.3178913326019075
11.4,1.317870132500633
11.5,1.3178489323993587
11.600000000000001,1.3178277322980843
11.700000000000001,1.31780653219681
11.8,1.3177853320955355
11.9,1.3177641319942612
12.0,1.3177429318929867
12.100000000000001,1.3177217317917125
12.200000000000001,1.3177005316904382
12.3,1.3176793315891637
12.4,1.3176581314878895
12.5,1.317636931386615
12.600000000000001,1.3176157312853407
12.700000000000001,1.3175945311840662
12.8,1.317573331082792
12.9,1.3175521309815175
13.0,1.3175309308802432
13.100000000000001,1.3175097307789687
13.200000000000001,1.3174885306776944
13.3,1.31746733057642
13.4,1.3174461304751457
13.5,1.3174249303738712
13.600000000000001,1.317403730272597
13.700000000000001,1.3173825301713225
13.8,1.3173613300700482
13.9,1.317340129968774
14.0,1.3173189298674994
14.100000000000001,1.3172977297662252
14.200000000000001,1.3172765296649507
14.3,1.3172553295636764
14.4,1.317234129462402
14.5,1.3172129293611277
14.600000000000001,1.3171917292598532
14.700000000000001,1.317170529158579
14.8,1.3171493290573044
14.9,1.3171281289560302
15.0,1.3171069288547557
15.100000000000001,1.3170857287534814
15.200000000000001,1.317064528652207
15.3,1.3170433285509326
15.4,1.3170221284496582
15.5,1.317000928348384
15.600000000000001,1.3169797282471094
15.700000000000001,1.3169585281458351
15.8,1.3169373280445609
15.9,1.3169161279432864
16.0,1.3168949278420121
16.1,1.3168737277407376
16.2,1.3168525276394634
16.3,1.3168237657186261
16.400000000000002,1.316789519401183
16.5,1.3167552730837397
16.6,1.3167210267662965
16.7,1.3166867804488533
16.8,1.31665253413141
16.900000000000002,1.3166182878139667
17.0,1.3165840414965235
17.1,1.3165497951790803
17.2,1.3165155488616371
17.3,1.316481302544194
17.400000000000002,1.3164470562267507
17.5,1.3164128099093075
17.6,1.3163785635918643
17.7,1.3163443172744211
17.8,1.316310070956978
17.900000000000002,1.3162758246395347
18.0,1.3162415783220915
18.1,1.3162073320046483
18.2,1.3161730856872051
18.3,1.316138839369762
18.400000000000002,1.3161045930523187
18.5,1.3160703467348756
18.6,1.3160361004174321
18.7,1.316001854099989
18.8,1.3159676077825457
18.900000000000002,1.3159333614651025
19.0,1.3158991151476593
19.1,1.3158648688302161
19.200000000000003,1.315830622512773
19.3,1.3157963761953297
19.400000000000002,1.3157621298778865
19.5,1.3157278835604433
19.6,1.3156936372430001
19.700000000000003,1.315659390925557
19.8,1.3156251446081138
19.900000000000002,1.3155908982906706
20.0,1.3155566519732274
20.1,1.3155224056557842
20.200000000000003,1.315488159338341
20.3,1.3154539130208975
20.400000000000002,1.3154196667034543
20.5,1.3153854203860111
20.6,1.315351174068568
20.700000000000003,1.3153169277511247
20.8,1.3152826814336815
20.900000000000002,1.3152484351162383
21.0,1.3152141887987951
21.1,1.315179942481352
21.200000000000003,1.3151456961639088
21.3,1.3151114498464656
21.400000000000002,1.3150772035290224
21.5,1.3150429572115792
21.6,1.315008710894136
21.700000000000003,1.3149744645766928
21.8,1.3149402182592496
21.900000000000002,1.3149059719418064
22.0,1.314871725624363
22.1,1.3148374793069197
22.200000000000003,1.3148032329894765
22.3,1.3147689866720333
22.400000000000002,1.3147347403545901
22.5,1.314700494037147
22.6,1.3146662477197038
22.700000000000003,1.3146320014022606
22.8,1.3145977550848174
22.900000000000002,1.3145635087673742
23.0,1.314529262449931
23.1,1.3144950161324878
23.200000000000003,1.3144607698150446
23.3,1.3144265234976014
23.400000000000002,1.3143922771801582
23.5,1.314358030862715
23.6,1.3143237845452718
23.700000000000003,1.3142895382278283
23.8,1.3142552919103851
23.900000000000002,1.314221045592942
24.0,1.3141867992754988
24.1,1.3141525529580556
24.200000000000003,1.3141183066406124
24.3,1.3140840603231692
24.400000000000002,1.314049814005726
24.5,1.3140155676882828
24.6,1.3139813213708396
24.700000000000003,1.3139470750533964
24.8,1.3139128287359532
24.900000000000002,1.31387858241851
25.0,1.3138443361010668
25.1,1.3138100897836236
25.200000000000003,1.3137758434661804
25.3,1.3137415971487372
25.400000000000002,1.3137073508312938
25.5,1.3136731045138506
25.6,1.3136388581964074
25.700000000000003,1.3136197110943335
25.8,1.3136059596772907
25.900000000000002,1.3135922082602478
26.0,1.313578456843205
26.1,1.313564705426162
26.200000000000003,1.3135509540091193
26.3,1.3135372025920764
26.400000000000002,1.3135234511750336
26.5,1.313509699757991
26.6,1.313495948340948
26.700000000000003,1.3134821969239052
26.8,1.3134684455068624
26.900000000000002,1.3134546940898195
27.0,1.3134409426727767
27.1,1.3134271912557338
27.200000000000003,1.313413439838691
27.3,1.3133996884216481
27.400000000000002,1.3133859370046053
27.5,1.3133721855875624
27.6,1.3133584341705196
27.700000000000003,1.3133446827534767
27.8,1.313330931336434
27.900000000000002,1.3133171799193912
28.0,1.3133034285023484
28.1,1.3132896770853055
28.200000000000003,1.3132759256682627
28.3,1.3132621742512198
28.400000000000002,1.313248422834177
28.5,1.3132346714171341
28.6,1.3132209200000913
28.700000000000003,1.3132071685830484
28.8,1.3131934171660056
28.900000000000002,1.3131796657489627
29.0,1.3131659143319199
29.1,1.313152162914877
29.200000000000003,1.3131384114978344
29.3,1.3131246600807915
29.400000000000002,1.3131109086637487
29.5,1.3130971572467058
29.6,1.313083405829663
29.700000000000003,1.3130696544126201
29.8,1.3130559029955773
29.900000000000002,1.3130421515785344
30.0,1.3130284001614916
30.1,1.3130146487444487
30.200000000000003,1.3130008973274059
30.3,1.312987145910363
30.400000000000002,1.3129733944933202
30.5,1.3129596430762773
30.6,1.3129458916592347
30.700000000000003,1.3129321402421918
30.8,1.312918388825149
30.900000000000002,1.3129046374081061
31.0,1.3128908859910633
31.1,1.3128771345740204
31.200000000000003,1.3128633831569776
31.3,1.3128496317399347
31.400000000000002,1.312835880322892
31.5,1.312822128905849
31.6,1.3128083774888062
31.700000000000003,1.3127946260717633
31.8,1.3127808746547205
31.900000000000002,1.3127671232376779
32.0,1.312753371820635
32.1,1.3127396204035922
32.2,1.3127258689865493
32.300000000000004,1.3127121175695065
32.4,1.3127116212338594
32.5,1.3127116212338594
32.6,1.3127116212338594
32.7,1.3127116212338594
32.800000000000004,1.3127116212338594
32.9,1.3127116212338594
33.0,1.3127116212338594
33.1,1.3127116212338594
33.2,1.3127116212338594
33.300000000000004,1.3127116212338594
33.4,1.3127116212338594
33.5,1.3127116212338594
33.6,1.3127116212338594
33.7,1.3127116212338594
33.800000000000004,1.3127116212338594
33.9,1.3127116212338594
34.0,1.3127116212338594
34.1,1.3127116212338594
34.2,1.3127116212338594
34.300000000000004,1.3127116212338594
34.4,1.3127116212338594
34.5,1.3127116212338594
34.6,1.3127116212338594
34.7,1.3127116212338594
34.800000000000004,1.3127116212338594
34.9,1.3127116212338594
35.0,1.3127116212338594
35.1,1.3127116212338594
35.2,1.3127116212338594
35.300000000000004,1.3127116212338594
35.4,1.3127116212338594
35.5,1.3127116212338594
35.6,1.3127116212338594
35.7,1.3127116212338594
35.800000000000004,1.3127116212338594
35.9,1.3127116212338594
36.0,1.3127116212338594
36.1,1.3127116212338594
36.2,1.3127116212338594
36.300000000000004,1.3127116212338594
36.4,1.3127116212338594
36.5,1.3127116212338594
36.6,1.3127116212338594
36.7,1.3127116212338594
36.800000000000004,1.3127116212338594
36.9,1.3127116212338594
37.0,1.3127116212338594
37.1,1.3127116212338594
37.2,1.3127116212338594
37.300000000000004,1.3127116212338594
37.4,1.3127116212338594
37.5,1.3127116212338594
37.6,1.3127116212338594
37.7,1.3127116212338594
37.800000000000004,1.3127116212338594
37.9,1.3127116212338594
38.0,1.3127116212338594
38.1,1.3127116212338594
38.2,1.3127116212338594
38.300000000000004,1.3127116212338594
38.400000000000006,1.3127116212338594
38.5,1.3127116212338594
38.6,1.3127116212338594
38.7,1.3127116212338594
38.800000000000004,1.3127116212338594
38.900000000000006,1.3127116212338594
39.0,1.3127116212338594
39.1,1.3127116212338594
39.2,1.3127116212338594
39.300000000000004,1.3127116212338594
39.400000000000006,1.3127116212338594
39.5,1.3127116212338594
39.6,1.3127116212338594
39.7,1.3127116212338594
39.800000000000004,1.3127116212338594
39.900000000000006,1.3127116212338594
40.0,1.3127116212338594
40.1,1.3127116212338594
40.2,1.3127116212338594
40.300000000000004,1.3127116212338594
40.400000000000006,1.3127116212338594
40.5,1.3127116212338594
40.6,1.3127116212338594
40.7,1.3127116212338594
40.800000000000004,1.3127116212338594
40.900000000000006,1.3127116212338594
41.0,1.3127116212338594
41.1,1.3127116212338594
41.2,1.3127116212338594
41.300000000000004,1.3127116212338594
41.400000000000006,1.3127116212338594
41.5,1.3127116212338594
41.6,1.3127116212338594
41.7,1.3127116212338594
41.800000000000004,1.3127116212338594
41.900000000000006,1.3127116212338594
42.0,1.3127116212338594
42.1,1.3127116212338594
42.2,1.3127116212338594
42.300000000000004,1.3127116212338594
42.400000000000006,1.3127116212338594
42.5,1.3127116212338594
42.6,1.3127116212338594
42.7,1.3127116212338594
42.800000000000004,1.3127116212338594
42.900000000000006,1.3127116212338594
43.0,1.3127116212338594
43.1,1.3127116212338594
43.2,1.3127116212338594
43.300000000000004,1.3127116212338594
43.400000000000006,1.3127116212338594
43.5,1.3127116212338594
43.6,1.3127116212338594
43.7,1.3127116212338594
43.800000000000004,1.3127116212338594
43.900000000000006,1.3127116212338594
44.0,1.3127116212338594
44.1,1.3127116212338594
44.2,1.3127116212338594
44.300000000000004,1.3127116212338594
44.400000000000006,1.3127116212338594
44.5,1.3127116212338594
44.6,1.3127116212338594
44.7,1.3127116212338594
44.800000000000004,1.3127116212338594
44.900000000000006,1.3127116212338594
45.0,1.3127116212338594
45.1,1.3127116212338594
45.2,1.3127116212338594
45.300000000000004,1.3127116212338594
45.400000000000006,1.3127116212338594
45.5,1.3127116212338594
45.6,1.3127116212338594
45.7,1.3127116212338594
45.800000000000004,1.3127116212338594
45.900000000000006,1.3127116212338594
