Range Time (seconds),Thrust
-3.5,0.0
-3.4,0.0
-3.3,0.0
-3.1999999999999997,0.0
-3.0999999999999996,0.0
-2.9999999999999996,0.0
-2.8999999999999995,0.0
-2.7999999999999994,0.0
-2.6999999999999993,0.05176136363636375
-2.599999999999999,0.0650063131313132
-2.499999999999999,0.23853592745638738
-2.399999999999999,1.278169856459345
-2.299999999999999,2.6607524901795827
-2.199999999999999,3.5943374719416474
-2.0999999999999988,4.389282024793396
-1.9999999999999987,5.147856404958686
-1.8999999999999986,5.363448942550503
-1.7999999999999985,5.487517755681822
-1.6999999999999984,5.814475812815664
-1.5999999999999983,6.299779040404049
-1.4999999999999982,6.6138392857142865
-1.3999999999999981,6.684794372294373
-1.299999999999998,6.734973375054897
-1.199999999999998,6.745051054018445
-1.0999999999999979,6.767822455322456
-0.9999999999999978,6.8123968045843055
-0.8999999999999977,6.850263047138047
-0.7999999999999976,6.845970702394313
-0.6999999999999975,6.841678357650579
-0.5999999999999974,6.901441976584024
-0.49999999999999734,6.975192263544538
-0.39999999999999725,6.9459579346092495
-0.29999999999999716,6.922127525252525
-0.19999999999999707,6.927646254208755
-0.09999999999999698,6.9303977272727275
