Range Time (seconds),Thrust
-3.5,-0.40067340067340124
-3.4,-0.32341119528619566
-3.3,-0.24614898989899012
-3.1999999999999997,-0.16888678451178454
-3.0999999999999996,-0.09162457912457897
-2.9999999999999996,-0.014362373737373414
-2.8999999999999995,0.023819444444444587
-2.7999999999999994,0.04971590909090909
-2.6999999999999993,0.4711260330578578
-2.599999999999999,1.7175410353535452
-2.499999999999999,2.7308006535947777
-2.399999999999999,3.6912037037037138
-2.299999999999999,4.4982218013468085
-2.199999999999999,5.046172138047143
-2.0999999999999988,5.174074883449881
-1.9999999999999987,5.231534090909094
-1.8999999999999986,5.538487699576415
-1.7999999999999985,5.994583944281531
-1.6999999999999984,6.381828703703707
-1.5999999999999983,6.572553661616164
-1.4999999999999982,6.676662457912459
-1.3999999999999981,6.7116477272727275
-1.299999999999998,6.78341307814992
-1.199999999999998,6.779791666666668
-1.0999999999999979,6.799137683654729
-0.9999999999999978,6.836910774410775
-0.8999999999999977,6.8670454545454565
-0.7999999999999976,6.880681818181818
-0.6999999999999975,6.91441498316498
-0.5999999999999974,6.873691460055097
-0.49999999999999734,6.917862519425021
-0.39999999999999725,6.9268529712013756
-0.29999999999999716,6.921921341070277
-0.19999999999999707,6.880681818181818
-0.09999999999999698,6.926726398601404
3.1086244689504383e-15,1.0058704150189957e-12
0.1000000000000032,32.35741161616214
0.2000000000000033,64.71482323232328
0.3000000000000034,97.07223484848441
0.40000000000000346,129.42964646464554
0.5000000000000036,161.78705808080667
0.6000000000000032,194.1444696969677
0.7000000000000037,226.50188131312896
0.8000000000000043,258.85929292929023
0.9000000000000039,291.21670454545125
1.0000000000000036,323.5741161616122
1.100000000000004,355.9315277777735
1.2000000000000046,388.28893939393475
1.3000000000000043,420.64635101009577
1.400000000000004,453.0037626262568
1.5000000000000044,485.36117424241803
1.600000000000005,517.7185858585793
1.7000000000000046,550.0759974747403
1.8000000000000043,582.4334090909014
1.9000000000000048,614.7908207070626
2.0000000000000053,647.1482323232239
2.100000000000005,679.5056439393849
2.2000000000000046,711.8630555555459
2.300000000000005,744.2204671717071
2.4000000000000057,776.5778787878684
2.5000000000000053,808.9352904040294
2.600000000000005,841.2927020201904
2.7000000000000055,873.6501136363516
2.800000000000006,906.007525252513
2.9000000000000057,938.3649368686739
3.0000000000000053,970.7223484848349
3.100000000000006,1003.0797601009962
3.2000000000000064,1035.4371717171575
3.300000000000006,1067.7945833333185
3.4000000000000057,1100.1519949494796
3.500000000000006,1132.5094065656408
3.6000000000000068,1164.866818181802
3.7000000000000064,1197.224229797963
3.800000000000006,1229.581641414124
3.9000000000000066,1261.9390530302853
4.000000000000007,1294.2964646464466
4.100000000000007,1326.6538762626076
4.200000000000006,1359.0112878787686
4.300000000000007,1391.3686994949298
4.4000000000000075,1423.726111111091
4.500000000000007,1456.083522727252
4.600000000000007,1488.4409343434131
4.700000000000006,1520.7983459595741
4.800000000000008,1553.1557575757356
4.9000000000000075,1585.5131691918966
5.000000000000007,1617.8705808080576
5.1000000000000085,1650.2279924242193
5.200000000000008,1682.5854040403801
5.300000000000008,1714.9428156565411
5.4000000000000075,1747.3002272727022
5.500000000000007,1779.6576388888632
5.6000000000000085,1812.0150505050249
5.700000000000008,1844.3724621211857
5.800000000000008,1876.7298737373467
5.900000000000009,1909.0872853535084
6.000000000000009,1941.4446969696694
6.1000000000000085,1973.8021085858304
6.200000000000008,2006.1595202019912
6.300000000000008,2038.5169318181522
6.400000000000009,2070.8743434343137
6.500000000000009,2103.231755050475
6.6000000000000085,2135.5891666666357
6.70000000000001,2167.9465782827974
6.80000000000001,2200.303989898958
6.900000000000009,2232.6614015151195
7.000000000000009,2265.0188131312802
7.1000000000000085,2297.3762247474415
7.20000000000001,2329.7336363636027
7.30000000000001,2362.091047979764
7.400000000000009,2394.4484595959248
7.500000000000011,2426.8058712120865
7.60000000000001,2459.1632828282477
7.70000000000001,2491.5206944444085
7.80000000000001,2523.8781060605693
7.900000000000009,2556.2355176767305
8.00000000000001,2588.592929292892
8.10000000000001,2620.950340909053
8.20000000000001,2653.307752525214
8.300000000000011,2685.6651641413755
