Range Time (seconds),Flow Rate
170.0,-1148.7512195121913
170.1,-1136.8686341463383
170.2,-1124.9860487804854
170.29999999999998,-1113.1034634146324
170.39999999999998,-1101.2208780487795
170.49999999999997,-1089.3382926829265
170.59999999999997,-1077.4557073170736
170.69999999999996,-1065.5731219512206
170.79999999999995,-1053.6905365853677
170.89999999999995,-1041.8079512195147
170.99999999999994,-1029.9253658536618
171.09999999999994,-1018.0427804878088
171.19999999999993,-1006.1601951219559
171.29999999999993,-994.277609756103
171.39999999999992,-982.39502439025
171.49999999999991,-970.512439024397
171.5999999999999,-958.6298536585441
171.6999999999999,-946.7472682926912
171.7999999999999,-934.8646829268382
171.8999999999999,-922.9820975609853
171.9999999999999,-911.0995121951323
172.09999999999988,-899.2169268292794
172.19999999999987,-887.3343414634264
172.29999999999987,-875.4517560975735
172.39999999999986,-863.5691707317205
172.49999999999986,-851.6865853658676
172.59999999999985,-839.8040000000146
172.69999999999985,-827.9214146341617
172.79999999999984,-816.0388292683087
172.89999999999984,-804.1562439024558
172.99999999999983,-792.2736585366029
173.09999999999982,-780.3910731707499
173.19999999999982,-768.508487804897
173.2999999999998,-756.625902439044
173.3999999999998,-744.7433170731911
173.4999999999998,-732.8607317073381
173.5999999999998,-720.9781463414852
173.6999999999998,-709.0955609756322
173.79999999999978,-697.2129756097793
173.89999999999978,-685.3303902439263
173.99999999999977,-673.4478048780734
174.09999999999977,-661.5652195122204
174.19999999999976,-649.6826341463675
174.29999999999976,-637.8000487805145
174.39999999999975,-625.9174634146616
174.49999999999974,-614.0348780488087
174.59999999999974,-602.1522926829557
174.69999999999973,-590.2697073171028
174.79999999999973,-578.3871219512498
174.89999999999972,-566.5045365853969
174.99999999999972,-554.6219512195439
175.0999999999997,-542.739365853691
175.1999999999997,-530.856780487838
175.2999999999997,-518.9741951219851
175.3999999999997,-507.09160975613213
175.4999999999997,-495.2090243902792
175.59999999999968,-483.32643902442624
175.69999999999968,-471.4438536585733
175.79999999999967,-459.56126829272034
175.89999999999966,-447.6786829268674
175.99999999999966,-435.79609756101445
176.09999999999965,-423.9135121951615
176.19999999999965,-412.03092682930856
176.29999999999964,-400.1483414634556
176.39999999999964,-388.26575609760266
176.49999999999963,-376.3831707317497
176.59999999999962,-364.50058536589677
176.69999999999962,-352.6180000000438
176.7999999999996,-340.7354146341909
176.8999999999996,-328.8528292683379
176.9999999999996,-316.970243902485
177.0999999999996,-305.08765853663203
177.1999999999996,-293.2050731707791
177.29999999999959,-281.32248780492614
177.39999999999958,-269.4399024390732
177.49999999999957,-257.55731707322025
177.59999999999957,-245.6747317073673
177.69999999999956,-233.79214634151435
177.79999999999956,-221.9095609756614
177.89999999999955,-210.02697560980846
177.99999999999955,-198.1443902439555
178.09999999999954,-186.26180487810257
178.19999999999953,-174.37921951224962
178.29999999999953,-162.49663414639667
178.39999999999952,-150.61404878054373
178.49999999999952,-138.7314634146908
178.5999999999995,-126.84887804883785
178.6999999999995,-114.9662926829849
178.7999999999995,-103.08370731713195
178.8999999999995,-91.201121951279
178.9999999999995,-79.31853658542606
179.09999999999948,-67.43595121957311
179.19999999999948,-55.553365853720166
179.29999999999947,-43.67078048786722
179.39999999999947,-31.788195122014276
179.49999999999946,-19.90560975616133
179.59999999999945,-8.023024390308384
179.69999999999945,3.8595609755445626
179.79999999999944,15.74214634139751
179.89999999999944,27.624731707250454
179.99999999999943,39.5073170731034
180.09999999999943,51.38990243895635
180.19999999999942,63.272487804809295
180.29999999999941,75.15507317066223
180.3999999999994,87.03765853651518
180.4999999999994,98.92024390236813
180.5999999999994,110.80282926822107
180.6999999999994,122.68541463407402
180.7999999999994,134.56799999992697
180.89999999999938,146.45058536577992
180.99999999999937,158.33317073163286
181.09999999999937,170.2157560974858
181.19999999999936,182.09834146333876
181.29999999999936,193.9809268291917
181.39999999999935,205.86351219504465
181.49999999999935,217.7460975608976
181.59999999999934,229.62868292675054
181.69999999999933,241.5112682926035
181.79999999999933,253.39385365845644
181.89999999999932,265.27643902430935
181.99999999999932,277.1590243901623
182.0999999999993,289.04160975601525
182.1999999999993,300.9241951218682
182.2999999999993,312.80678048772114
182.3999999999993,324.6893658535741
182.4999999999993,336.57195121942704
182.59999999999928,348.45453658528
182.69999999999928,360.33712195113293
182.79999999999927,372.2197073169859
182.89999999999927,384.1022926828388
182.99999999999926,395.98487804869177
183.09999999999926,407.8674634145447
183.19999999999925,419.75004878039766
183.29999999999924,431.6326341462506
183.39999999999924,443.51521951210356
183.49999999999923,455.3978048779565
183.59999999999923,467.28039024380945
183.69999999999922,479.1629756096624
183.79999999999922,491.04556097551534
183.8999999999992,502.9281463413683
183.9999999999992,514.8107317072213
184.0999999999992,526.6933170730742
184.1999999999992,538.5759024389272
184.2999999999992,550.4584878047801
184.39999999999918,562.3410731706331
184.49999999999918,574.223658536486
184.59999999999917,586.106243902339
184.69999999999916,597.9888292681919
184.79999999999916,607.8438176033915
184.89999999999915,608.0677200424159
184.99999999999915,608.2916224814402
185.09999999999914,608.5155249204646
185.19999999999914,608.739427359489
185.29999999999913,608.9633297985133
185.39999999999912,609.1872322375377
185.49999999999912,609.4111346765621
185.5999999999991,609.6350371155864
185.6999999999991,609.8589395546109
185.7999999999991,610.0828419936353
185.8999999999991,610.3067444326596
185.9999999999991,610.530646871684
186.09999999999908,610.7545493107084
186.19999999999908,610.9784517497327
186.29999999999907,611.2023541887571
186.39999999999907,611.4262566277815
186.49999999999906,611.6501590668058
186.59999999999906,611.8740615058302
186.69999999999905,612.0979639448547
186.79999999999905,612.3218663838791
186.89999999999904,612.5457688229034
186.99999999999903,612.7696712619278
187.09999999999903,612.9935737009522
187.19999999999902,613.2174761399765
187.29999999999902,613.4413785790009
187.399999999999,613.6652810180253
187.499999999999,613.8891834570496
187.599999999999,614.113085896074
187.699999999999,614.3369883350985
187.799999999999,614.5608907741228
187.89999999999898,614.7847932131472
187.99999999999898,615.0086956521716
188.09999999999897,615.2325980911959
188.19999999999897,615.4565005302203
188.29999999999896,615.6804029692447
188.39999999999895,615.904305408269
188.49999999999895,616.1282078472934
188.59999999999894,616.3521102863178
188.69999999999894,616.5760127253421
188.79999999999893,616.7999151643666
188.89999999999893,617.023817603391
188.99999999999892,617.2477200424153
189.09999999999891,617.4716224814397
189.1999999999989,617.6955249204641
189.2999999999989,617.9194273594885
189.3999999999989,618.1433297985128
189.4999999999989,618.3672322375372
189.5999999999989,618.5911346765616
189.69999999999888,618.8150371155859
189.79999999999887,619.0389395546104
189.89999999999887,619.2628419936348
189.99999999999886,619.4867444326591
190.09999999999886,619.7106468716835
190.19999999999885,619.9345493107079
190.29999999999885,620.1584517497322
190.39999999999884,620.3823541887566
190.49999999999883,620.606256627781
190.59999999999883,620.8301590668053
190.69999999999882,621.0540615058297
190.79999999999882,621.2779639448542
190.8999999999988,621.5018663838785
190.9999999999988,621.7257688229029
191.0999999999988,621.9496712619273
191.1999999999988,622.1735737009516
191.2999999999988,622.397476139976
191.39999999999878,622.6213785790004
191.49999999999878,622.8452810180247
191.59999999999877,623.0691834570491
191.69999999999877,623.2930858960735
191.79999999999876,623.516988335098
191.89999999999876,623.7408907741222
191.99999999999875,623.9647932131467
192.09999999999874,624.1886956521711
192.19999999999874,624.4125980911954
192.29999999999873,624.6365005302198
192.39999999999873,624.8604029692442
192.49999999999872,625.0843054082685
192.59999999999872,625.3082078472929
192.6999999999987,625.5321102863173
192.7999999999987,625.7560127253416
192.8999999999987,625.979915164366
192.9999999999987,626.2038176033905
193.0999999999987,626.4277200424148
193.19999999999868,626.6516224814392
193.29999999999868,626.8755249204636
193.39999999999867,627.0994273594879
193.49999999999866,627.3233297985123
193.59999999999866,627.5472322375367
193.69999999999865,627.771134676561
193.79999999999865,627.9950371155854
193.89999999999864,628.2189395546098
193.99999999999864,628.4428419936341
194.09999999999863,628.6667444326586
194.19999999999862,628.890646871683
194.29999999999862,629.1145493107073
194.3999999999986,629.3384517497317
194.4999999999986,629.5623541887561
194.5999999999986,629.7862566277805
194.6999999999986,630.0101590668048
194.7999999999986,630.2340615058292
194.89999999999858,630.4579639448536
194.99999999999858,630.681866383878
195.09999999999857,630.9057688229024
195.19999999999857,631.1296712619268
195.29999999999856,631.3535737009511
195.39999999999856,631.5774761399755
195.49999999999855,631.8013785789999
195.59999999999854,632.0252810180242
195.69999999999854,632.2491834570486
195.79999999999853,632.473085896073
195.89999999999853,632.6969883350973
195.99999999999852,632.9208907741217
196.09999999999852,633.1447932131462
196.1999999999985,633.3686956521705
196.2999999999985,633.5925980911949
196.3999999999985,633.8165005302193
196.4999999999985,634.0404029692436
196.5999999999985,634.264305408268
196.69999999999848,634.4882078472924
196.79999999999848,634.7121102863167
196.89999999999847,634.9360127253411
196.99999999999847,635.1599151643655
197.09999999999846,635.3838176033898
197.19999999999845,635.6077200424143
197.29999999999845,635.8316224814387
197.39999999999844,636.0555249204631
197.49999999999844,636.2794273594874
197.59999999999843,636.5033297985118
197.69999999999843,636.7272322375362
197.79999999999842,636.9511346765605
197.8999999999984,637.1750371155849
197.9999999999984,637.3989395546093
198.0999999999984,637.6228419936336
198.1999999999984,637.846744432658
198.2999999999984,638.0706468716825
198.39999999999839,638.2945493107068
198.49999999999838,638.5184517497312
198.59999999999837,638.7423541887556
198.69999999999837,638.9662566277799
198.79999999999836,639.1901590668043
198.89999999999836,639.4140615058287
198.99999999999835,639.637963944853
199.09999999999835,639.8618663838774
199.19999999999834,640.0857688229019
199.29999999999833,640.3096712619262
199.39999999999833,640.5335737009506
199.49999999999832,640.757476139975
199.59999999999832,640.9813785789993
199.6999999999983,641.2052810180237
199.7999999999983,641.4291834570481
199.8999999999983,641.6530858960725
199.9999999999983,641.8769883350968
200.0999999999983,642.1008907741212
200.19999999999828,642.3247932131457
200.29999999999828,642.54869565217
200.39999999999827,642.7725980911944
200.49999999999827,642.9965005302188
200.59999999999826,643.2204029692431
200.69999999999825,643.4443054082675
200.79999999999825,643.6682078472919
200.89999999999824,643.8921102863162
200.99999999999824,644.1160127253406
201.09999999999823,644.339915164365
201.19999999999823,644.5638176033893
201.29999999999822,644.7877200424138
201.39999999999822,645.0116224814382
201.4999999999982,645.2355249204625
201.5999999999982,645.4594273594869
201.6999999999982,645.6833297985113
201.7999999999982,645.9072322375356
201.8999999999982,646.13113467656
