Range Time (seconds),Mixture Ratio
160.0,-25.03019704433475
160.1,-24.764971921182056
160.2,-24.499746798029364
160.29999999999998,-24.234521674876675
160.39999999999998,-23.969296551723982
160.49999999999997,-23.70407142857129
160.59999999999997,-23.438846305418597
160.69999999999996,-23.173621182265904
160.79999999999995,-22.908396059113212
160.89999999999995,-22.64317093596052
160.99999999999994,-22.37794581280783
161.09999999999994,-22.112720689655138
161.19999999999993,-21.847495566502445
161.29999999999993,-21.582270443349753
161.39999999999992,-21.31704532019706
161.49999999999991,-21.051820197044368
161.5999999999999,-20.786595073891675
161.6999999999999,-20.521369950738986
161.7999999999999,-20.256144827586294
161.8999999999999,-19.9909197044336
161.9999999999999,-19.72569458128091
162.09999999999988,-19.460469458128216
162.19999999999987,-19.195244334975524
162.29999999999987,-18.93001921182283
162.39999999999986,-18.664794088670142
162.49999999999986,-18.39956896551745
162.59999999999985,-18.134343842364757
162.69999999999985,-17.869118719212064
162.79999999999984,-17.603893596059372
162.89999999999984,-17.33866847290668
162.99999999999983,-17.07344334975399
163.09999999999982,-16.808218226601298
163.19999999999982,-16.542993103448605
163.2999999999998,-16.277767980295913
163.3999999999998,-16.01254285714322
163.4999999999998,-15.747317733990528
163.5999999999998,-15.482092610837837
163.6999999999998,-15.216867487685144
163.79999999999978,-14.951642364532452
163.89999999999978,-14.686417241379761
163.99999999999977,-14.421192118227069
164.09999999999977,-14.155966995074376
164.19999999999976,-13.890741871921684
164.29999999999976,-13.625516748768993
164.39999999999975,-13.3602916256163
164.49999999999974,-13.095066502463608
164.59999999999974,-12.829841379310917
164.69999999999973,-12.564616256158224
164.79999999999973,-12.299391133005532
164.89999999999972,-12.03416600985284
164.99999999999972,-11.768940886700149
165.0999999999997,-11.503715763547456
165.1999999999997,-11.238490640394764
165.2999999999997,-10.973265517242073
165.3999999999997,-10.70804039408938
165.4999999999997,-10.442815270936688
165.59999999999968,-10.177590147783995
165.69999999999968,-9.912365024631304
165.79999999999967,-9.647139901478612
165.89999999999966,-9.38191477832592
165.99999999999966,-9.116689655173229
166.09999999999965,-8.851464532020536
166.19999999999965,-8.586239408867844
166.29999999999964,-8.321014285715151
166.39999999999964,-8.05578916256246
166.49999999999963,-7.790564039409768
166.59999999999962,-7.525338916257076
166.69999999999962,-7.2601137931043835
166.7999999999996,-6.994888669951692
166.8999999999996,-6.729663546798999
166.9999999999996,-6.464438423646308
167.0999999999996,-6.199213300493616
167.1999999999996,-5.9339881773409235
167.29999999999959,-5.668763054188232
167.39999999999958,-5.403537931035539
167.49999999999957,-5.138312807882848
167.59999999999957,-4.873087684730155
167.69999999999956,-4.6078625615774635
167.79999999999956,-4.342637438424772
167.89999999999955,-4.077412315272079
167.99999999999955,-3.8121871921193873
168.09999999999954,-3.5469620689666956
168.19999999999953,-3.2817369458140035
168.29999999999953,-3.0165118226613115
168.39999999999952,-2.7512866995086194
168.49999999999952,-2.4860615763559273
168.5999999999995,-2.220836453203235
168.6999999999995,-1.9556113300505433
168.7999999999995,-1.6903862068978512
168.8999999999995,-1.4251610837451594
168.9999999999995,-1.1599359605924673
169.09999999999948,-0.8947108374397752
169.19999999999948,-0.6294857142870832
169.29999999999947,-0.3642605911343912
169.39999999999947,-0.09903546798169917
169.49999999999946,0.16618965517099285
169.59999999999945,0.43141477832368486
169.69999999999945,0.6966399014763769
169.79999999999944,0.9618650246290689
169.89999999999944,1.2270901477817608
169.99999999999943,1.492315270934453
170.09999999999943,1.757540394087145
170.19999999999942,2.022765517239837
170.29999999999941,2.287990640392529
170.3999999999994,2.553215763545221
170.4999999999994,2.818440886697913
170.5999999999994,3.0836660098506052
170.6999999999994,3.3488911330032973
170.7999999999994,3.614116256155989
170.89999999999938,3.879341379308681
170.99999999999937,4.144566502461373
171.09999999999937,4.409791625614065
171.19999999999936,4.675016748766757
171.29999999999936,4.940241871919449
171.39999999999935,5.2054669950721415
171.49999999999935,5.426921182265997
171.59999999999934,5.42884729064038
171.69999999999933,5.430773399014765
171.79999999999933,5.432699507389149
171.89999999999932,5.434625615763533
171.99999999999932,5.436551724137917
172.0999999999993,5.4384778325123015
172.1999999999993,5.440403940886686
172.2999999999993,5.44233004926107
172.3999999999993,5.444256157635454
172.4999999999993,5.4461822660098385
172.59999999999928,5.448108374384222
172.69999999999928,5.450034482758606
172.79999999999927,5.45196059113299
172.89999999999927,5.4538866995073745
172.99999999999926,5.455812807881759
173.09999999999926,5.457738916256143
173.19999999999925,5.459665024630527
173.29999999999924,5.461591133004911
173.39999999999924,5.463517241379296
173.49999999999923,5.465443349753679
173.59999999999923,5.467369458128063
173.69999999999922,5.469295566502447
173.79999999999922,5.471221674876832
173.8999999999992,5.473147783251216
173.9999999999992,5.4750738916256
174.0999999999992,5.476999999999984
174.1999999999992,5.4789261083743686
174.2999999999992,5.480852216748753
174.39999999999918,5.482778325123137
174.49999999999918,5.48470443349752
174.59999999999917,5.486630541871905
174.69999999999916,5.488556650246289
174.79999999999916,5.490482758620673
174.89999999999915,5.492408866995057
174.99999999999915,5.4943349753694415
175.09999999999914,5.496261083743826
175.19999999999914,5.49818719211821
175.29999999999913,5.500113300492594
175.39999999999912,5.5020394088669775
175.49999999999912,5.503965517241362
175.5999999999991,5.505645714285706
175.6999999999991,5.50657024630541
175.7999999999991,5.507494778325115
175.8999999999991,5.508419310344819
175.9999999999991,5.509343842364523
176.09999999999908,5.510268374384228
176.19999999999908,5.511192906403932
176.29999999999907,5.512117438423637
176.39999999999907,5.513041970443341
176.49999999999906,5.513966502463045
176.59999999999906,5.5148910344827495
176.69999999999905,5.515815566502454
176.79999999999905,5.516740098522158
176.89999999999904,5.517664630541863
176.99999999999903,5.518589162561567
177.09999999999903,5.5195136945812715
177.19999999999902,5.520438226600976
177.29999999999902,5.52136275862068
177.399999999999,5.522287290640385
177.499999999999,5.523211822660089
177.599999999999,5.5241363546797935
177.699999999999,5.525060886699498
177.799999999999,5.525985418719202
177.89999999999898,5.526909950738907
177.99999999999898,5.527834482758611
178.09999999999897,5.528759014778315
178.19999999999897,5.52968354679802
178.29999999999896,5.530608078817724
178.39999999999895,5.531532610837429
178.49999999999895,5.532457142857133
178.59999999999894,5.533381674876837
178.69999999999894,5.534306206896542
178.79999999999893,5.535230738916246
178.89999999999893,5.536155270935951
178.99999999999892,5.537079802955655
179.09999999999891,5.538004334975359
179.1999999999989,5.538928866995064
179.2999999999989,5.539853399014768
179.3999999999989,5.540777931034473
179.4999999999989,5.541702463054177
179.5999999999989,5.542626995073881
179.69999999999888,5.543551527093586
179.79999999999887,5.54447605911329
179.89999999999887,5.545400591132994
179.99999999999886,5.546325123152699
180.09999999999886,5.547249655172403
180.19999999999885,5.5481741871921075
180.29999999999885,5.549098719211812
180.39999999999884,5.550023251231516
180.49999999999883,5.550947783251221
180.59999999999883,5.551872315270925
180.69999999999882,5.552715435139572
180.79999999999882,5.552779638752052
180.8999999999988,5.552843842364531
180.9999999999988,5.552908045977011
181.0999999999988,5.55297224958949
181.1999999999988,5.55303645320197
181.2999999999988,5.553100656814449
181.39999999999878,5.553164860426929
