Range Time (seconds),LOX Tank Pressure
-200.0,10.45774647887324
-199.9,10.457982554417415
-199.8,10.458218629961587
-199.70000000000002,10.458454705505762
-199.60000000000002,10.458690781049937
-199.50000000000003,10.458926856594111
-199.40000000000003,10.459162932138284
-199.30000000000004,10.459399007682459
-199.20000000000005,10.459635083226633
-199.10000000000005,10.459871158770808
-199.00000000000006,10.46010723431498
-198.90000000000006,10.460343309859155
-198.80000000000007,10.46057938540333
-198.70000000000007,10.460815460947504
-198.60000000000008,10.461051536491677
-198.50000000000009,10.461287612035852
-198.4000000000001,10.461523687580026
-198.3000000000001,10.4617597631242
-198.2000000000001,10.461995838668374
-198.1000000000001,10.462231914212548
-198.0000000000001,10.462467989756723
-197.90000000000012,10.462704065300896
-197.80000000000013,10.46294014084507
-197.70000000000013,10.463176216389245
-197.60000000000014,10.46341229193342
-197.50000000000014,10.463648367477592
-197.40000000000015,10.463884443021767
-197.30000000000015,10.464120518565942
-197.20000000000016,10.464356594110116
-197.10000000000016,10.464592669654289
-197.00000000000017,10.464828745198464
-196.90000000000018,10.465064820742638
-196.80000000000018,10.465300896286811
-196.7000000000002,10.465536971830986
-196.6000000000002,10.46577304737516
-196.5000000000002,10.466009122919335
-196.4000000000002,10.466245198463508
-196.3000000000002,10.466481274007682
-196.20000000000022,10.466717349551857
-196.10000000000022,10.466953425096031
-196.00000000000023,10.467189500640204
-195.90000000000023,10.467425576184379
-195.80000000000024,10.467661651728553
-195.70000000000024,10.467897727272728
-195.60000000000025,10.4681338028169
-195.50000000000026,10.468369878361075
-195.40000000000026,10.46860595390525
-195.30000000000027,10.468842029449423
-195.20000000000027,10.469078104993597
-195.10000000000028,10.469314180537772
-195.00000000000028,10.469550256081947
-194.9000000000003,10.46978633162612
-194.8000000000003,10.470022407170294
-194.7000000000003,10.470258482714469
-194.6000000000003,10.470494558258643
-194.5000000000003,10.470730633802816
-194.40000000000032,10.47096670934699
-194.30000000000032,10.471202784891165
-194.20000000000033,10.47143886043534
-194.10000000000034,10.471674935979513
-194.00000000000034,10.471911011523687
-193.90000000000035,10.472147087067862
-193.80000000000035,10.472383162612035
-193.70000000000036,10.47261923815621
-193.60000000000036,10.472855313700384
-193.50000000000037,10.473091389244559
-193.40000000000038,10.473327464788731
-193.30000000000038,10.473563540332906
-193.2000000000004,10.47379961587708
-193.1000000000004,10.474035691421255
-193.0000000000004,10.474271766965428
-192.9000000000004,10.474507842509603
-192.8000000000004,10.474743918053777
-192.70000000000041,10.474979993597952
-192.60000000000042,10.475216069142125
-192.50000000000043,10.4754521446863
-192.40000000000043,10.475688220230474
-192.30000000000044,10.475924295774647
-192.20000000000044,10.476160371318821
-192.10000000000045,10.476396446862996
-192.00000000000045,10.47663252240717
-191.90000000000046,10.476868597951343
-191.80000000000047,10.477104673495518
-191.70000000000047,10.477340749039692
-191.60000000000048,10.477576824583867
