Range Time (seconds),Fuel Pressure
-200.0,11.091549295774648
-199.9,11.091549295774648
-199.8,11.091549295774648
-199.70000000000002,11.091549295774648
-199.60000000000002,11.091549295774648
-199.50000000000003,11.091549295774648
-199.40000000000003,11.091549295774648
-199.30000000000004,11.091549295774648
-199.20000000000005,11.091549295774648
-199.10000000000005,11.091549295774648
-199.00000000000006,11.091549295774648
-198.90000000000006,11.091549295774648
-198.80000000000007,11.091549295774648
-198.70000000000007,11.091549295774648
-198.60000000000008,11.091549295774648
-198.50000000000009,11.091549295774648
-198.4000000000001,11.091549295774648
-198.3000000000001,11.091549295774648
-198.2000000000001,11.091549295774648
-198.1000000000001,11.091549295774648
-198.0000000000001,11.091549295774648
-197.90000000000012,11.091549295774648
-197.80000000000013,11.091549295774648
-197.70000000000013,11.091549295774648
-197.60000000000014,11.091549295774648
-197.50000000000014,11.091549295774648
-197.40000000000015,11.091549295774648
-197.30000000000015,11.091549295774648
-197.20000000000016,11.091549295774648
-197.10000000000016,11.091549295774648
-197.00000000000017,11.091549295774648
-196.90000000000018,11.091549295774648
-196.80000000000018,11.091549295774648
-196.7000000000002,11.091549295774648
-196.6000000000002,11.091549295774648
-196.5000000000002,11.091549295774648
-196.4000000000002,11.091549295774648
-196.3000000000002,11.091549295774648
-196.20000000000022,11.091549295774648
-196.10000000000022,11.091549295774648
-196.00000000000023,11.091549295774648
-195.90000000000023,11.091549295774648
-195.80000000000024,11.091549295774648
-195.70000000000024,11.091549295774648
-195.60000000000025,11.091549295774648
-195.50000000000026,11.091549295774648
-195.40000000000026,11.091549295774648
-195.30000000000027,11.091549295774648
-195.20000000000027,11.091549295774648
-195.10000000000028,11.091549295774648
-195.00000000000028,11.091549295774648
-194.9000000000003,11.091549295774648
-194.8000000000003,11.091549295774648
-194.7000000000003,11.091549295774648
-194.6000000000003,11.091549295774648
-194.5000000000003,11.091549295774648
-194.40000000000032,11.091549295774648
-194.30000000000032,11.091549295774648
-194.20000000000033,11.091549295774648
-194.10000000000034,11.091549295774648
-194.00000000000034,11.091549295774648
-193.90000000000035,11.091549295774648
-193.80000000000035,11.091549295774648
-193.70000000000036,11.091549295774648
-193.60000000000036,11.091549295774648
-193.50000000000037,11.091549295774648
-193.40000000000038,11.091549295774648
-193.30000000000038,11.091549295774648
-193.2000000000004,11.091549295774648
-193.1000000000004,11.091549295774648
-193.0000000000004,11.091549295774648
-192.9000000000004,11.091549295774648
-192.8000000000004,11.091549295774648
-192.70000000000041,11.091549295774648
-192.60000000000042,11.091549295774648
-192.50000000000043,11.091549295774648
-192.40000000000043,11.091549295774648
-192.30000000000044,11.091549295774648
-192.20000000000044,11.091549295774648
-192.10000000000045,11.091549295774648
-192.00000000000045,11.091549295774648
-191.90000000000046,11.091549295774648
-191.80000000000047,11.091549295774648
-191.70000000000047,11.091549295774648
-191.60000000000048,11.091549295774648
-191.50000000000048,11.091549295774648
-191.4000000000005,11.091549295774648
-191.3000000000005,11.091549295774648
-191.2000000000005,11.091549295774648
-191.1000000000005,11.091549295774648
-191.0000000000005,11.091549295774648
-190.90000000000052,11.091549295774648
-190.80000000000052,11.091549295774648
-190.70000000000053,11.091549295774648
-190.60000000000053,11.091549295774648
-190.50000000000054,11.091549295774648
-190.40000000000055,11.091549295774648
-190.30000000000055,11.091549295774648
-190.20000000000056,11.091549295774648
-190.10000000000056,11.091549295774648
-190.00000000000057,11.091549295774648
-189.90000000000057,11.091549295774648
-189.80000000000058,11.091549295774648
-189.70000000000059,11.091549295774648
-189.6000000000006,11.091549295774648
-189.5000000000006,11.091549295774648
-189.4000000000006,11.091549295774648
-189.3000000000006,11.091549295774648
-189.2000000000006,11.091549295774648
-189.10000000000062,11.091549295774648
-189.00000000000063,11.091549295774648
-188.90000000000063,11.091549295774648
-188.80000000000064,11.091549295774648
-188.70000000000064,11.091549295774648
-188.60000000000065,11.091549295774648
-188.50000000000065,11.091549295774648
-188.40000000000066,11.091549295774648
-188.30000000000067,11.091549295774648
-188.20000000000067,11.091549295774648
-188.10000000000068,11.091549295774648
-188.00000000000068,11.091549295774648
-187.9000000000007,11.091549295774648
-187.8000000000007,11.091549295774648
-187.7000000000007,11.091549295774648
-187.6000000000007,11.091549295774648
-187.5000000000007,11.091549295774648
-187.40000000000072,11.091549295774648
-187.30000000000072,11.091549295774648
-187.20000000000073,11.091549295774648
-187.10000000000073,11.091549295774648
-187.00000000000074,11.091549295774648
-186.90000000000074,11.091549295774648
-186.80000000000075,11.091549295774648
-186.70000000000076,11.091549295774648
-186.60000000000076,11.091549295774648
-186.50000000000077,11.091549295774648
-186.40000000000077,11.091549295774648
-186.30000000000078,11.091549295774648
-186.20000000000078,11.091549295774648
-186.1000000000008,11.091549295774648
-186.0000000000008,11.091549295774648
-185.9000000000008,11.091549295774648
-185.8000000000008,11.091549295774648
-185.7000000000008,11.091549295774648
-185.60000000000082,11.091549295774648
-185.50000000000082,11.091549295774648
-185.40000000000083,11.091549295774648
-185.30000000000084,11.091549295774648
-185.20000000000084,11.091549295774648
-185.10000000000085,11.091549295774648
-185.00000000000085,11.091549295774648
-184.90000000000086,11.091549295774648
-184.80000000000086,11.091549295774648
-184.70000000000087,11.091549295774648
-184.60000000000088,11.091549295774648
-184.50000000000088,11.091549295774648
-184.4000000000009,11.091549295774648
-184.3000000000009,11.091549295774648
-184.2000000000009,11.091549295774648
-184.1000000000009,11.091549295774648
-184.0000000000009,11.091549295774648
-183.90000000000092,11.091549295774648
-183.80000000000092,11.091549295774648
-183.70000000000093,11.091549295774648
